device,elapsed_seconds,ipc_mean,kernel_ref,postprocess_error,quality_json,repetition,success,target_windows_per_repetition,windows_achieved
gpu,4.980090574361384,,gpu_dgemm_n4096,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 392, ""pmu_degraded"": 3886, ""intensity_undefined"": 77, ""no_freq_reading"": 138, ""gpu_telemetry"": 806}",4,True,5,806
gpu,4.930571491830051,,gpu_dgemm_n4096,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 393, ""pmu_degraded"": 3886, ""intensity_undefined"": 72, ""no_freq_reading"": 141, ""gpu_telemetry"": 808}",5,True,5,808
gpu,4.931083912029862,,gpu_dgemm_n4096,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 393, ""pmu_degraded"": 3885, ""intensity_undefined"": 78, ""no_freq_reading"": 138, ""gpu_telemetry"": 806}",6,True,5,806
gpu,4.929323080927134,,gpu_dgemm_n4096,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 393, ""pmu_degraded"": 3876, ""intensity_undefined"": 73, ""no_freq_reading"": 138, ""gpu_telemetry"": 805}",7,True,5,805
gpu,4.929228495806456,,gpu_dgemm_n4096,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 394, ""pmu_degraded"": 3884, ""intensity_undefined"": 79, ""no_freq_reading"": 139, ""gpu_telemetry"": 808}",8,True,5,808
gpu,4.928973404690623,,gpu_dgemm_n4096,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 388, ""pmu_degraded"": 3885, ""intensity_undefined"": 73, ""no_freq_reading"": 139, ""gpu_telemetry"": 811}",9,True,5,811
gpu,4.929323927499354,,gpu_dgemm_n4096,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 391, ""pmu_degraded"": 3886, ""intensity_undefined"": 73, ""no_freq_reading"": 141, ""gpu_telemetry"": 811}",10,True,5,811
gpu,7.384731478989124,,rodinia_hotspot,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 2204, ""pmu_degraded"": 589, ""intensity_undefined"": 4140, ""gpu_telemetry"": 1238}",1,True,5,1238
gpu,7.33463691547513,,rodinia_hotspot,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 2204, ""pmu_degraded"": 599, ""intensity_undefined"": 4107, ""gpu_telemetry"": 1238}",2,True,5,1238
gpu,7.386828925460577,,rodinia_hotspot,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 2204, ""pmu_degraded"": 606, ""intensity_undefined"": 4125, ""gpu_telemetry"": 1165}",3,True,5,1165
