ipc_cv_pct,ipc_mean,kernel_ref,n_gpu_telemetry,n_windows_ok,n_windows_total,quality_json,repetition,run_dir
35.56549267429507,3.3305584824344803,npb_ft,,3649,4150,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 500, ""ok"": 3649}",3,/home/latorresn/hyperion-results/sweeps/repetitions/runs/sweep_repetitions__npb_ft__REF__rep03
36.70876417452569,3.296476610086324,npb_ft,,3688,4189,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 500, ""ok"": 3688}",4,/home/latorresn/hyperion-results/sweeps/repetitions/runs/sweep_repetitions__npb_ft__REF__rep04
35.89735068838566,3.3252076158560153,npb_ft,,3655,4156,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 500, ""ok"": 3655}",5,/home/latorresn/hyperion-results/sweeps/repetitions/runs/sweep_repetitions__npb_ft__REF__rep05
36.58034730242141,3.28282857794052,npb_ft,,3704,4205,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 500, ""ok"": 3704}",6,/home/latorresn/hyperion-results/sweeps/repetitions/runs/sweep_repetitions__npb_ft__REF__rep06
38.808378497826936,3.2060865463072448,npb_ft,,3798,4299,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 500, ""ok"": 3798}",7,/home/latorresn/hyperion-results/sweeps/repetitions/runs/sweep_repetitions__npb_ft__REF__rep07
35.61477072714423,3.3256171720736027,npb_ft,,3656,4157,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 500, ""ok"": 3656}",8,/home/latorresn/hyperion-results/sweeps/repetitions/runs/sweep_repetitions__npb_ft__REF__rep08
36.56873103675214,3.2829501768579163,npb_ft,,3704,4205,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 500, ""ok"": 3704}",9,/home/latorresn/hyperion-results/sweeps/repetitions/runs/sweep_repetitions__npb_ft__REF__rep09
38.37317154067836,3.2270999035745023,npb_ft,,3772,4274,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 500, ""ok"": 3772, ""intensity_undefined"": 1}",10,/home/latorresn/hyperion-results/sweeps/repetitions/runs/sweep_repetitions__npb_ft__REF__rep10
21.803745312267257,1.8223648558622336,npb_lu,,16301,17302,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 1000, ""ok"": 16301}",1,/home/latorresn/hyperion-results/sweeps/repetitions/runs/sweep_repetitions__npb_lu__REF__rep01
21.92116795765494,1.8167842059373418,npb_lu,,16355,17356,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 1000, ""ok"": 16355}",2,/home/latorresn/hyperion-results/sweeps/repetitions/runs/sweep_repetitions__npb_lu__REF__rep02
22.05424498994619,1.8196247553430742,npb_lu,,16410,17411,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 1000, ""ok"": 16410}",3,/home/latorresn/hyperion-results/sweeps/repetitions/runs/sweep_repetitions__npb_lu__REF__rep03
22.194823797610734,1.8226180311169358,npb_lu,,16294,17295,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 1000, ""ok"": 16294}",4,/home/latorresn/hyperion-results/sweeps/repetitions/runs/sweep_repetitions__npb_lu__REF__rep04
22.154332762582456,1.8161387904900188,npb_lu,,16365,17366,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 1000, ""ok"": 16365}",5,/home/latorresn/hyperion-results/sweeps/repetitions/runs/sweep_repetitions__npb_lu__REF__rep05
21.696966208868027,1.8314022467045223,npb_lu,,16212,17213,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 1000, ""ok"": 16212}",6,/home/latorresn/hyperion-results/sweeps/repetitions/runs/sweep_repetitions__npb_lu__REF__rep06
22.207681592437194,1.8178197082830234,npb_lu,,16337,17338,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 1000, ""ok"": 16337}",7,/home/latorresn/hyperion-results/sweeps/repetitions/runs/sweep_repetitions__npb_lu__REF__rep07
22.43343724587236,1.8071784271506248,npb_lu,,16459,17460,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 1000, ""ok"": 16459}",8,/home/latorresn/hyperion-results/sweeps/repetitions/runs/sweep_repetitions__npb_lu__REF__rep08
