kernel_ref,freq_level_id,phase_label_train,operational_intensity_uncore_real,performance_flops_per_s
phasic_p010,F8,compute_bound,22.614027276463684,39867409237.728485
rodinia_lavamd_omp,F8,compute_bound,104.2449314579791,4231678620.1178174
cpu_rajaperf_basic_mat_mat_shared,F8,compute_bound,87.90128083491462,9113736946.149666
cpu_cholmod,F8,compute_bound,93.1585776897927,143133385275.38983
cpu_rajaperf_apps_edge3d,F8,compute_bound,179.92232464028777,8244270168.946115
cpu_cholmod,F8,compute_bound,12.223776073078778,65807045697.225586
rodinia_lavamd_omp,F8,compute_bound,121.36566329764756,4149778361.8122907
npb_lu,F8,compute_bound,4.192733062335333,5935992112.869864
rajaperf_polybench_3mm_omp,F8,compute_bound,42.39310225002172,2403924030.2207284
rajaperf_polybench_3mm_omp,F8,compute_bound,46.459651785714286,2401112355.6412544
cpu_rajaperf_apps_edge3d,F8,compute_bound,213.3758710385644,8249058046.826421
rodinia_lavamd_omp,F8,compute_bound,125.76907947575934,4244720173.0814323
rajaperf_polybench_3mm_omp,F8,compute_bound,9.532045797498816,2378336207.3897805
rajaperf_polybench_3mm_omp,F8,compute_bound,44.00283565858276,2403318381.4617615
npb_bt,F8,compute_bound,8.628217024937461,6561872382.73812
phasic_p1000,F8,compute_bound,2326.974644461078,70253676439.72131
npb_lu,F8,compute_bound,6.197385594603657,8470106224.246901
phasic_p100,F8,compute_bound,22.17406677643615,74667200369.99872
dual_cholesky_cpu_N256,F8,compute_bound,143.22480816408032,3663818679.6497583
dgemm_n2048,F8,compute_bound,17.221155743118636,88844487463.81381
rodinia_lavamd_omp,F8,compute_bound,109.9711272834696,4237377619.430269
rodinia_lavamd_omp,F8,compute_bound,111.69968409356346,4240492520.2029305
hpccg_cpu_N46,F8,compute_bound,9.67233752481039,3608386529.4321866
cpu_rajaperf_basic_trap_int,F8,compute_bound,99.72790202092428,3757261899.645405
npb_bt,F8,compute_bound,5.478053377174905,5596396399.924496
dgemm_n2048,F8,compute_bound,15.877287401365027,79192429438.35596
hpccg_cpu_N46,F8,compute_bound,8.20012328682967,3612054903.5393386
dual_cholesky_cpu_N1024,F8,compute_bound,15.82046310850398,25294912361.897545
rajaperf_polybench_3mm_omp,F8,compute_bound,42.66789580029951,2382036542.5062
cpu_rajaperf_basic_trap_int,F8,compute_bound,108.7909429807983,3465797926.2156396
phasic_p100,F8,compute_bound,22.670509780667444,74513610205.90298
npb_lu,F8,compute_bound,7.211119578967812,10152450387.072174
rodinia_lavamd_omp,F8,compute_bound,121.76851549250988,4249213895.178575
cpu_cholmod,F8,compute_bound,16.522136734560977,84718043393.96918
cpu_rajaperf_apps_edge3d,F8,compute_bound,181.14172359326065,8255104306.403198
cpu_rajaperf_basic_mat_mat_shared,F8,compute_bound,103.49575755456073,9124943376.73551
cpu_rajaperf_basic_trap_int,F8,compute_bound,114.23796332296529,3479747188.779561
cpu_rajaperf_apps_fir,F8,compute_bound,48.341789905719054,7267881940.94648
cpu_rajaperf_apps_edge3d,F8,compute_bound,162.08246821521803,8258613728.807779
rodinia_lavamd_omp,F8,compute_bound,77.7331292938169,2987879895.734229
npb_bt,F8,compute_bound,6.331985445030774,6570768422.854746
npb_lu,F8,compute_bound,4.223753563503493,6011896015.247175
phasic_p1000,F8,compute_bound,3499.1317536365736,74580428744.87007
npb_bt,F8,compute_bound,13.52233655445887,14519360204.682316
rajaperf_polybench_3mm_omp,F8,compute_bound,47.01189161975932,2384438327.9114413
dual_cholesky_cpu_N256,F8,compute_bound,148.28785701588055,3670032749.7408347
cpu_rajaperf_basic_mat_mat_shared,F8,compute_bound,37.24152429679048,4987524863.755411
dgemm_n2048,F8,compute_bound,26.947418430031416,122780189789.99928
npb_lu,F8,compute_bound,8.219276764513982,6020248129.773525
dual_stencil_cpu_N256,F8,compute_bound,69.62538395904437,2008990342.5407138
npb_lu,F8,compute_bound,6.368037707385692,5962568856.718248
cpu_rajaperf_apps_mass3dpa,F8,compute_bound,64.80841971783585,15243331465.644005
npb_bt,F8,compute_bound,6.276809033657402,6480612697.70472
npb_bt,F8,compute_bound,6.63365631202406,6457359659.60425
cpu_rajaperf_basic_mat_mat_shared,F8,compute_bound,68.37402855718821,9121411704.734034
npb_lu,F8,compute_bound,4.1093748406864,5957812059.344105
dual_stencil_cpu_N256,F8,compute_bound,64.08944134736181,2011475982.9901013
npb_lu,F8,compute_bound,4.21637964262054,5993343387.571628
dual_gemm_cpu_N2048,F8,compute_bound,23.890158221674923,119322587748.78426
cpu_cholmod,F8,compute_bound,69.05246104872296,31953461536.09793
cpu_cholmod,F8,compute_bound,30.78766499489677,135715467039.74461
dgemm_n2048,F8,compute_bound,22.52445435688601,130903874559.28087
rajaperf_polybench_3mm_omp,F8,compute_bound,34.409121529525244,2382187820.066592
cpu_cholmod,F8,compute_bound,23.475274613269967,102303660037.8187
rodinia_lavamd_omp,F8,compute_bound,133.4132361778846,4330930586.839883
cpu_rajaperf_apps_fir,F8,compute_bound,45.719527238136486,7124120636.510677
cpu_rajaperf_apps_fir,F8,compute_bound,25.469502012549345,7274334235.412613
npb_bt,F8,compute_bound,6.214650289544642,6458707162.608675
npb_bt,F8,compute_bound,9.030967473815782,6558524942.261522
dgemm_n2048,F8,compute_bound,21.637507656556952,130615440064.95297
cpu_rajaperf_basic_pi_reduce,F8,compute_bound,192.64639793859016,6575523681.125585
cpu_rajaperf_apps_fir,F8,compute_bound,25.732823440657004,7281398361.344152
dual_cholesky_cpu_N256,F8,compute_bound,96.89673955108358,3651983823.368674
dual_cholesky_cpu_N256,F8,compute_bound,114.2454050698049,3869891486.163152
cpu_rajaperf_basic_trap_int,F8,compute_bound,123.3031411498708,3463995668.0377593
cpu_cholmod,F8,compute_bound,70.55138595624241,38710848147.62547
cpu_rajaperf_basic_mat_mat_shared,F8,compute_bound,109.90811967290236,9577657130.166561
phasic_p010,F8,compute_bound,49.88838077284278,57793191628.0103
cpu_rajaperf_basic_trap_int,F8,compute_bound,151.33302864308342,3524079836.690344
npb_bt,F8,compute_bound,5.439854826223682,6563900621.278172
rodinia_lavamd_omp,F8,compute_bound,109.39278800191204,4224260084.429932
dual_spmv_cpu_N100000,F8,compute_bound,134.67022872506234,4261523446.0040817
rajaperf_polybench_3mm_omp,F8,compute_bound,42.49606118934808,2382259483.7230797
cpu_rajaperf_basic_trap_int,F8,compute_bound,100.02437604646296,3537208433.63973
npb_bt,F8,compute_bound,6.396851048939897,6423287292.847453
cpu_rajaperf_apps_edge3d,F8,compute_bound,174.81661192784904,8254832548.031617
rajaperf_polybench_3mm_omp,F8,compute_bound,42.87175782622058,2406329139.0746837
cpu_cholmod,F8,compute_bound,17.809593284650084,142951364799.22778
npb_bt,F8,compute_bound,6.01548967266076,6241828613.436582
rodinia_lavamd_omp,F8,compute_bound,106.8519448757764,4154679154.5756083
dual_spmv_cpu_N100000,F8,compute_bound,178.2446531176846,4129516445.702504
cpu_cholmod,F8,compute_bound,35.41815965335706,35720005603.55561
cpu_cholmod,F8,compute_bound,12.278086431918547,78107352341.74454
cpu_rajaperf_apps_mass3dpa,F8,compute_bound,36.1899249874531,14600462156.44938
cpu_rajaperf_basic_mat_mat_shared,F8,compute_bound,34.22846961618489,4542459743.9018755
npb_bt,F8,compute_bound,6.219030369265093,6421888473.649594
phasic_p100,F8,compute_bound,22.58740897845704,74572303652.07132
cpu_cholmod,F8,compute_bound,9.0926063659205,8746911235.241383
dual_axpy_cpu_N100000,F8,compute_bound,22.32744675114586,815284209.9984456
hpccg_cpu_N46,F8,compute_bound,8.284209028938688,3611594409.863383
dgemm_n2048,F8,compute_bound,22.15106633899488,117091364245.4702
cpu_rajaperf_basic_mat_mat_shared,F8,compute_bound,77.35318356760375,9114681132.356672
hpccg_cpu_N46,F8,compute_bound,7.962742680901413,3595134819.4644594
cpu_cholmod,F8,compute_bound,11.228467625239809,42140578700.61249
npb_bt,F8,compute_bound,7.7855086509744895,6444613548.890332
rodinia_lavamd_omp,F8,compute_bound,96.02852260044642,4240527222.448538
npb_lu,F8,compute_bound,4.271955788602424,5965606224.718766
