evaluation_scope,resource_state,k,n,selected_baseline,selected_direct_name,selected_structured_name,selected_baseline_edp_sum_ratio_vs_oracle,selected_direct_edp_sum_ratio_vs_oracle,selected_structured_edp_sum_ratio_vs_oracle,winner_formulation,winner_edp_sum_ratio_vs_oracle,improvement_pct_over_best_baseline,beats_baseline_above_noise_floor
interpolation_all,gpu_ready,1,56,size_threshold_train,random_forest+probe,elasticnet,1.2227204182286053,1.274205185885217,1.1048088986182834,structured,1.1048088986182834,9.64337536631179,True
interpolation_all,gpu_ready,2,56,size_threshold_train,random_forest+probe,elasticnet,1.069072917177081,1.1167098104074415,1.0171863794550209,structured,1.0171863794550209,4.853414288996117,True
interpolation_all,gpu_ready,3,56,size_threshold_train,random_forest+probe,elasticnet,1.050150319077788,1.0968594158037617,1.02876681612021,structured,1.02876681612021,2.036232582051356,False
interpolation_all,gpu_ready,5,56,size_threshold_train,random_forest+probe,elasticnet,1.0442662303486512,1.0900907263082074,1.0381190879729538,structured,1.0381190879729538,0.5886566276920524,False
interpolation_all,gpu_ready,10,56,operation_crossover_table_train,random_forest+probe,elasticnet,1.0181415242136898,1.0991295686827032,1.0470601069456342,structured,1.0470601069456342,-2.8403303513505396,False
interpolation_all,gpu_ready,30,56,operation_crossover_table_train,random_forest+probe,elasticnet,1.0020602049186518,1.0691493230752762,1.0000158175644105,structured,1.0000158175644105,0.20401841568064016,False
interpolation_all,gpu_ready,100,56,operation_crossover_table_train,random_forest+probe,elasticnet,1.0003607299572224,1.0702969117600496,1.0002917722742575,structured,1.0002917722742575,0.006893281683273411,False
interpolation_all,gpu_ready,1000,56,operation_crossover_table_train,random_forest+probe,elasticnet,1.000198622566131,1.0597519596491465,1.0000997245907655,structured,1.0000997245907655,0.009887833589661277,False
interpolation_all,none_ready,1,56,always_cpu_ref,random_forest+probe,elasticnet,1.0,1.0,1.0,direct,1.0,0.0,False
interpolation_all,none_ready,2,56,always_cpu_ref,random_forest+probe,elasticnet,1.0,1.0,1.0,direct,1.0,0.0,False
interpolation_all,none_ready,3,56,always_cpu_ref,random_forest+probe,elasticnet,1.0,1.0,1.0,direct,1.0,0.0,False
interpolation_all,none_ready,5,56,k_break_even_table_train,random_forest+probe,elasticnet,1.0000000000000002,1.123648024307422,1.123648024307422,direct,1.123648024307422,-12.364802430742184,False
interpolation_all,none_ready,10,56,k_break_even_table_train,random_forest+probe,elasticnet,1.0,1.9023782756594687,1.0615748933893272,structured,1.0615748933893272,-6.15748933893272,False
interpolation_all,none_ready,30,56,k_break_even_table_train,random_forest+probe,elasticnet,1.0083534518834563,1.0794144234774412,1.0973213947710516,direct,1.0794144234774412,-7.047228475417366,False
interpolation_all,none_ready,100,56,k_break_even_table_train,random_forest+probe,elasticnet,1.0039085824950693,1.117137148384807,1.0978367560112394,structured,1.0978367560112394,-9.356247685693187,False
interpolation_all,none_ready,1000,56,k_break_even_table_train,random_forest+probe,elasticnet,1.0014406432424212,1.2142737313112153,1.0044875603220977,structured,1.0044875603220977,-0.30425338738113705,False
