fold,regime,resource_state,k,selected_baseline,selected_baseline_edp_sum_ratio_vs_oracle,selected_direct_name,selected_direct_edp_sum_ratio_vs_oracle,selected_structured_name,selected_structured_edp_sum_ratio_vs_oracle,winner_formulation,winner_edp_sum_ratio_vs_oracle,n,oracle_edp_sum_js,selected_baseline_edp_sum_js,selected_direct_edp_sum_js,selected_structured_edp_sum_js,winner_edp_sum_js,improvement_pct_over_best_baseline,beats_baseline_above_noise_floor
interpolation_fold0,interpolation,none_ready,3,always_cpu_ref,1.0,random_forest+probe,1.0,elasticnet,1.0,direct,1.0,20,13.877506995478386,13.877506995478386,13.877506995478386,13.877506995478386,13.877506995478386,0.0,False
interpolation_fold0,interpolation,none_ready,5,k_break_even_table_train,1.0,random_forest+probe,1.0,elasticnet,1.0,direct,1.0,20,35.664412053465874,35.664412053465874,35.664412053465874,35.664412053465874,35.664412053465874,0.0,False
interpolation_fold0,interpolation,none_ready,10,k_break_even_table_train,1.0,random_forest+probe,1.0,elasticnet,1.0,direct,1.0,20,135.5276170410993,135.5276170410993,135.5276170410993,135.5276170410993,135.5276170410993,0.0,False
interpolation_fold0,interpolation,none_ready,30,k_break_even_table_train,1.0,random_forest+probe,1.0,elasticnet,1.3890596177995118,direct,1.0,20,439.6682298256064,439.6682298256064,439.6682298256064,610.7253832801448,439.6682298256064,0.0,False
interpolation_fold0,interpolation,none_ready,100,k_break_even_table_train,1.0,random_forest+probe,1.0469977616102653,elasticnet,1.0,structured,1.0,20,1690.0296271762263,1690.0296271762263,1769.4572367085402,1690.0296271762263,1690.0296271762263,0.0,False
interpolation_fold0,interpolation,none_ready,1000,k_break_even_table_train,1.0038265861444209,random_forest+probe,1.0633314858084737,elasticnet,1.028836392914214,structured,1.028836392914214,20,86857.76146325748,87190.13016980818,92358.59255072357,89362.42600046104,89362.42600046104,-2.491446940636699,False
interpolation_fold1,interpolation,cpu_ready,1,always_cpu_ref,1.0,random_forest+probe,21.287789115754386,elasticnet,1.0,structured,1.0,20,8.244127224726086,8.244127224726086,175.49924180341836,8.244127224726086,8.244127224726086,0.0,False
interpolation_fold1,interpolation,cpu_ready,2,always_cpu_ref,1.0,random_forest+probe,5.829069483199973,elasticnet,1.0,structured,1.0,20,32.97650889890434,32.97650889890434,192.22236168507564,32.97650889890434,32.97650889890434,0.0,False
interpolation_fold1,interpolation,cpu_ready,3,always_cpu_ref,1.0,random_forest+probe,2.828027831300361,elasticnet,1.0,structured,1.0,20,74.19714502253477,74.19714502253477,209.8315911267574,74.19714502253477,74.19714502253477,0.0,False
interpolation_fold1,interpolation,cpu_ready,5,k_break_even_table_train,1.0,random_forest+probe,1.3718945735248087,elasticnet,1.1414706138377346,structured,1.1414706138377346,20,180.55933995989017,180.55933995989017,247.70837869019445,206.10318061815204,206.10318061815204,-14.147061383773462,False
interpolation_fold1,interpolation,cpu_ready,10,k_break_even_table_train,1.0,random_forest+probe,1.0,elasticnet,1.0730693499782176,direct,1.0,20,357.907264899216,357.907264899216,357.907264899216,384.05931609788337,357.907264899216,0.0,False
interpolation_fold1,interpolation,cpu_ready,30,k_break_even_table_train,1.0,random_forest+probe,1.0,elasticnet,1.0,direct,1.0,20,1020.230199741427,1020.230199741427,1020.230199741427,1020.230199741427,1020.230199741427,0.0,False
interpolation_fold1,interpolation,cpu_ready,100,k_break_even_table_train,1.0,random_forest+probe,1.0354994283928032,elasticnet,1.0192398844252974,structured,1.0192398844252974,20,6013.898866627014,6013.898866627013,6227.3888388044,6129.605585766345,6129.605585766345,-1.9239884425297449,False
interpolation_fold1,interpolation,cpu_ready,1000,k_break_even_table_train,1.0006280871195838,random_forest+probe,1.0689392469120191,elasticnet,1.0,structured,1.0,20,426595.8908117367,426863.830196023,456005.0902600598,426595.8908117367,426595.8908117367,0.06276928737747323,False
interpolation_fold1,interpolation,gpu_ready,1,size_threshold_train,1.1186074695426331,random_forest+probe,1.3187110676843856,elasticnet,1.1816021600033686,structured,1.1816021600033686,20,0.5215161360300266,0.5833718452501997,0.6877291005587916,0.61622459280969,0.61622459280969,-5.63152778574707,False
interpolation_fold1,interpolation,gpu_ready,2,size_threshold_train,1.0611272885468008,random_forest+probe,1.1655800547355994,elasticnet,1.027415684023663,structured,1.027415684023663,20,1.823701418938374,1.93517934179703,2.1256699997075805,1.8736994407934944,1.8736994407934944,3.176961415185675,True
interpolation_fold1,interpolation,gpu_ready,3,size_threshold_train,1.059605586584954,random_forest+probe,1.1416159627779126,elasticnet,1.044282532539587,structured,1.044282532539587,20,3.9325660295476235,4.166968934522873,4.489480154009723,4.106710012715141,4.106710012715141,1.4461092164257394,False
interpolation_fold1,interpolation,gpu_ready,5,size_threshold_train,1.0623740691877517,random_forest+probe,1.130639573305258,elasticnet,1.056956500365583,structured,1.056956500365583,20,10.608781535046848,11.2704944085116,11.994708228074067,11.213020604426134,11.213020604426134,0.5099492710990972,False
interpolation_fold1,interpolation,gpu_ready,10,operation_crossover_table_train,1.00693697242918,random_forest+probe,1.1277889043443774,elasticnet,1.0659691284261898,structured,1.0659691284261898,20,41.63953305141048,41.92838534415205,46.960603357461714,44.38645675488556,44.38645675488556,-5.862547270917884,False
