fold,regime,resource_state,k,method,name,with_probe,abstention_rate,startup_mode_cpu_e,startup_mode_cpu_t,startup_mode_gpu_e,startup_mode_gpu_t,n,accuracy,balanced_accuracy,mcc,precision_migrate_gpu,recall_migrate_gpu,tp_gpu,fp_gpu,fn_gpu,tn_cpu,regret_ratio_mean,regret_ratio_median,regret_ratio_p95,regret_ratio_max,oracle_savings_captured_pct,edp_sum_js,edp_sum_ratio_vs_oracle
interpolation_fold0,interpolation,cpu_ready,1000,model_structured,elasticnet,False,0.0,per_operation,per_operation,constant,constant,20,0.9,0.8666666666666667,0.7333333333333333,0.8,0.8,4,1,1,14,1.1093482930780443,1.0,1.1399608016624798,3.1529519631337375,90.0,89290.47241718565,1.0284995409251543
interpolation_fold0,interpolation,gpu_ready,1,model_structured,elasticnet,False,0.0,per_operation,per_operation,constant,constant,20,0.9,0.7222222222222222,0.4444444444444444,0.9444444444444444,0.9444444444444444,17,1,1,1,1.6150414050602684,1.0,7.048763330755913,7.263359294876873,90.0,0.10480604649002706,1.000770224204777
interpolation_fold0,interpolation,gpu_ready,2,model_structured,elasticnet,False,0.0,per_operation,per_operation,constant,constant,20,0.9,0.7222222222222222,0.4444444444444444,0.9444444444444444,0.9444444444444444,17,1,1,1,1.4620053366219565,1.0,2.3193151383005617,9.287540286129575,90.0,0.4189339706662946,1.0001288455738424
interpolation_fold0,interpolation,gpu_ready,3,model_structured,elasticnet,False,0.0,per_operation,per_operation,constant,constant,20,0.95,0.875,0.8401680504168059,0.9411764705882353,1.0,16,1,0,3,1.4683117441733162,1.0,1.4683117441733229,10.366234883466324,95.0,0.8701636063484414,1.0000150286557141
interpolation_fold0,interpolation,gpu_ready,5,model_structured,elasticnet,False,0.0,per_operation,per_operation,constant,constant,20,0.95,0.9,0.8660254037844386,0.9375,1.0,15,1,0,4,1.5207675214875196,1.0,1.520767521487527,11.41535042975039,95.0,2.2605039788126358,1.0000162276052273
interpolation_fold0,interpolation,gpu_ready,10,model_structured,elasticnet,False,0.0,per_operation,per_operation,constant,constant,20,0.95,0.9285714285714286,0.8921425711997711,0.9285714285714286,1.0,13,1,0,6,1.0324909048211555,1.0,1.032490904821156,1.6498180964231104,95.0,8.384137689750622,1.0000554596921905
interpolation_fold0,interpolation,gpu_ready,30,model_structured,elasticnet,False,0.0,per_operation,per_operation,constant,constant,20,0.95,0.95,0.9045340337332909,0.9090909090909091,1.0,10,1,0,9,1.1839746842218035,1.0,1.1839746842218062,4.679493684436071,95.0,72.34651623394261,1.0001154835875001
interpolation_fold0,interpolation,gpu_ready,100,model_structured,elasticnet,False,0.0,per_operation,per_operation,constant,constant,20,1.0,1.0,1.0,1.0,1.0,8,0,0,12,1.0,1.0,1.0,1.0,100.0,792.6607460106972,1.0
interpolation_fold0,interpolation,gpu_ready,1000,model_structured,elasticnet,False,0.05,per_operation,per_operation,constant,constant,20,1.0,1.0,1.0,1.0,1.0,6,0,0,14,1.0,1.0,1.0,1.0,100.0,78868.78431046664,1.0
interpolation_fold0,interpolation,none_ready,1,model_structured,elasticnet,False,0.0,per_operation,per_operation,constant,constant,20,1.0,1.0,,,,0,0,0,20,1.0,1.0,1.0,1.0,100.0,2.466817330099965,1.0
interpolation_fold0,interpolation,none_ready,2,model_structured,elasticnet,False,0.0,per_operation,per_operation,constant,constant,20,1.0,1.0,,,,0,0,0,20,1.0,1.0,1.0,1.0,100.0,6.875135238713041,1.0
interpolation_fold0,interpolation,none_ready,3,model_structured,elasticnet,False,0.0,per_operation,per_operation,constant,constant,20,1.0,1.0,,,,0,0,0,20,1.0,1.0,1.0,1.0,100.0,13.877506995478386,1.0
interpolation_fold0,interpolation,none_ready,5,model_structured,elasticnet,False,0.0,per_operation,per_operation,constant,constant,20,1.0,1.0,,,,0,0,0,20,1.0,1.0,1.0,1.0,100.0,35.664412053465874,1.0
interpolation_fold0,interpolation,none_ready,10,model_structured,elasticnet,False,0.0,per_operation,per_operation,constant,constant,20,1.0,1.0,,,,0,0,0,20,1.0,1.0,1.0,1.0,100.0,135.5276170410993,1.0
interpolation_fold0,interpolation,none_ready,30,model_structured,elasticnet,False,0.0,per_operation,per_operation,constant,constant,20,0.95,0.8333333333333333,0.7934920476158722,1.0,0.6666666666666666,2,0,1,17,1.057893368987446,1.0,1.0578933689874468,2.1578673797489176,95.0,610.7253832801448,1.3890596177995118
interpolation_fold0,interpolation,none_ready,100,model_structured,elasticnet,False,0.0,per_operation,per_operation,constant,constant,20,1.0,1.0,1.0,1.0,1.0,3,0,0,17,1.0,1.0,1.0,1.0,100.0,1690.0296271762265,1.0
interpolation_fold0,interpolation,none_ready,1000,model_structured,elasticnet,False,0.0,per_operation,per_operation,constant,constant,20,0.9,0.8666666666666667,0.7333333333333333,0.8,0.8,4,1,1,14,1.110677472031788,1.0,1.1404140723660028,3.180508773597746,90.0,89362.42600046104,1.0288363929142141
interpolation_fold0,interpolation,cpu_ready,1,model_structured,huber,False,0.0,per_operation,per_operation,constant,constant,20,1.0,1.0,,,,0,0,0,20,1.0,1.0,1.0,1.0,100.0,1.2970269240761343,1.0
interpolation_fold0,interpolation,cpu_ready,2,model_structured,huber,False,0.0,per_operation,per_operation,constant,constant,20,1.0,1.0,,,,0,0,0,20,1.0,1.0,1.0,1.0,100.0,5.188107696304537,1.0
interpolation_fold0,interpolation,cpu_ready,3,model_structured,huber,False,0.0,per_operation,per_operation,constant,constant,20,1.0,1.0,,,,0,0,0,20,1.0,1.0,1.0,1.0,100.0,11.673242316685208,1.0
interpolation_fold0,interpolation,cpu_ready,5,model_structured,huber,False,0.0,per_operation,per_operation,constant,constant,20,1.0,1.0,,,,0,0,0,20,1.0,1.0,1.0,1.0,100.0,32.42567310190335,1.0
interpolation_fold0,interpolation,cpu_ready,10,model_structured,huber,False,0.0,per_operation,per_operation,constant,constant,20,1.0,1.0,,,,0,0,0,20,1.0,1.0,1.0,1.0,100.0,129.7026924076134,1.0
interpolation_fold0,interpolation,cpu_ready,30,model_structured,huber,False,0.0,per_operation,per_operation,constant,constant,20,1.0,1.0,1.0,1.0,1.0,3,0,0,17,1.0,1.0,1.0,1.0,100.0,436.6810655040845,1.0
interpolation_fold0,interpolation,cpu_ready,100,model_structured,huber,False,0.0,per_operation,per_operation,constant,constant,20,1.0,1.0,1.0,1.0,1.0,3,0,0,17,1.0,1.0,1.0,1.0,100.0,1681.4501734906037,1.0
interpolation_fold0,interpolation,cpu_ready,1000,model_structured,huber,False,0.0,per_operation,per_operation,constant,constant,20,1.0,1.0,1.0,1.0,1.0,5,0,0,15,1.0,1.0,1.0,1.0,100.0,86816.24917096923,1.0
interpolation_fold0,interpolation,gpu_ready,1,model_structured,huber,False,0.0,per_operation,per_operation,constant,constant,20,0.9,0.7222222222222222,0.4444444444444444,0.9444444444444444,0.9444444444444444,17,1,1,1,1.6150414050602684,1.0,7.048763330755913,7.263359294876873,90.0,0.10480604649002706,1.000770224204777
interpolation_fold0,interpolation,gpu_ready,2,model_structured,huber,False,0.0,per_operation,per_operation,constant,constant,20,0.9,0.7222222222222222,0.4444444444444444,0.9444444444444444,0.9444444444444444,17,1,1,1,1.4620053366219565,1.0,2.3193151383005617,9.287540286129575,90.0,0.4189339706662946,1.0001288455738424
interpolation_fold0,interpolation,gpu_ready,3,model_structured,huber,False,0.0,per_operation,per_operation,constant,constant,20,0.95,0.875,0.8401680504168059,0.9411764705882353,1.0,16,1,0,3,1.4683117441733162,1.0,1.4683117441733229,10.366234883466324,95.0,0.8701636063484414,1.0000150286557141
