config_id,operation,size,log10_n,flops_per_dispatch_analytic,log10_flops_per_dispatch,logical_bytes_per_dispatch,log10_logical_bytes,arithmetic_intensity_analytic,cpu_e_cold,log_cpu_e_cold,cpu_t_cold,log_cpu_t_cold,cpu_e_warm,log_cpu_e_warm,cpu_t_warm,log_cpu_t_warm,cpu_startup_e,cpu_startup_t,gpu_e_cold,log_gpu_e_cold,gpu_t_cold,log_gpu_t_cold,gpu_e_warm,log_gpu_e_warm,gpu_t_warm,log_gpu_t_warm,gpu_startup_e,gpu_startup_t
cholesky_N1536,cholesky,1536,3.186391215695493,1207959552.0,9.082052392366817,37748736.0,7.576902414046911,32.0,5.057442227532706,1.6208608668670264,0.0363523556666666,-3.3144962719671134,3.5660887555037357,1.271469408504106,0.02517163805,-3.6820373924928145,1.4913534720289698,0.0111807176166666,94.48531323683436,4.548444406938225,0.6758591373333335,-0.3917706013784574,0.841194927438762,-0.1729318653206539,0.0050654480119474,-5.285312692686293,93.6441183093956,0.670793689321386
cholesky_N192,cholesky,192,2.2833012287035497,2359296.0,6.372782431390986,589824.0,5.770722440063024,4.0,0.2139630576525084,-1.5419519066541947,0.0020220403333333,-6.203648211335867,0.0423380403093967,-3.1620692989616828,0.0002829680849831,-8.1701764405918,0.1716250173431117,0.0017390722483502,81.9758837169433,4.406425102995183,0.576476727,-0.5508203095588378,0.0776119735663205,-2.5560335651607007,0.0005195819684817,-7.56248597646109,81.89827174337698,0.5759571450315183
cholesky_N2048,cholesky,2048,3.3113299523037933,2863311530.6666665,9.456868602191717,67108864.0,7.826779887263511,42.666666666666664,10.566473688657783,2.3576861291453075,0.0781676053333333,-2.5488999713072302,9.59241150488271,2.2609723176476493,0.0697688496515151,-2.66256764889065,0.9740621837750734,0.008398755681818207,88.61727271081487,4.484326790199776,0.6276074796666666,-0.4658403403060255,1.4203689706306557,0.3509166763332929,0.008458548574074,-4.772577683430907,87.19690374018421,0.6191489310925926
cholesky_N256,cholesky,256,2.4082399653118496,5592405.333333333,6.747598641215887,1048576.0,6.020599913279624,5.333333333333333,0.2317450220286252,-1.4621175546865017,0.002340609,-6.057344127063096,0.0788265453428782,-2.540505469012727,0.0005255744282051,-7.551018744555265,0.152918476685747,0.0018150345717949001,98.5507812628344,4.5905719611455345,0.7113827696666667,-0.34054464007784513,0.0940076670794897,-2.3643789353629283,0.0006135042914334,-7.396323298836306,98.45677359575491,0.7107692653752333
cholesky_N3072,cholesky,3072,3.4874212113594742,9663676416.0,9.985142379358761,150994944.0,8.178962405374874,64.0,25.26890016566772,3.2295743971315156,0.1799949883333333,-1.7148262710721316,23.398258577063924,3.152661599810773,0.167729688074074,-1.7854015949679318,1.870641588603796,0.012265300259259287,91.32651500417391,4.514441161694297,0.626361975,-0.46782684017109594,3.153013219417329,1.1483585732015589,0.0179614702991453,-4.0195263542503215,88.17350178475658,0.6084005047008547
cholesky_N384,cholesky,384,2.584331224367531,18874368.0,7.27587241838293,2359296.0,6.372782431390986,8.0,0.2807757186204775,-1.2701990827187095,0.0035739523333333,-5.63408319939783,0.1663631866218944,-1.7935820093143573,0.0011086770481622,-6.80458782297669,0.11441253199858312,0.0024652752851710997,95.08588771491893,4.55478056437495,0.658217976,-0.4182191319980653,0.1287987431980254,-2.049504223138797,0.0008435550552451,-7.077885388108126,94.9570889717209,0.6573744209447548
cholesky_N4096,cholesky,4096,3.612359947967774,22906492245.333332,10.35995858918366,268435456.0,8.428839878591473,85.33333333333333,47.84105144742104,3.867884087816846,0.3428680903333334,-1.0704094820722805,45.32526142780849,3.8138645244744405,0.3220160759333333,-1.1331538094251539,2.5157900196125453,0.020852014400000063,81.8105893614204,4.40440668952631,0.542206176,-0.6121089513516811,5.616986871564177,1.725795376279303,0.0310267074791666,-3.4729069138162925,76.19360248985622,0.5111794685208334
cholesky_N512,cholesky,512,2.709269960975831,44739242.666666664,7.6506886282078295,4194304.0,6.622659904607587,10.666666666666666,0.709085543465584,-0.3437791060389635,0.0057185579999999,-5.164038603274563,0.3167357812764417,-1.1496873502077332,0.0021593361123388,-6.137954459928118,0.39234976218914225,0.0035592218876610996,92.3319767446535,4.5253905251151245,0.6591214003333334,-0.4168475424271542,0.1695114059510625,-1.7748350626789386,0.0010965626252444,-6.815574877971278,92.16246533870245,0.6580248377080891
cholesky_N64,cholesky,64,1.806179973983887,87381.33333333333,4.941418667231999,65536.0,4.816479930623699,1.3333333333333333,0.1665194239977223,-1.7926433157189818,0.001604302,-6.435066507958392,0.0065298728918653,-5.031367801141242,4.432057693641618e-05,-10.024061498091557,0.159989551105857,0.0015599814230635837,93.94335040149008,4.5426919452970065,0.6774432309999999,-0.38942952162093586,0.0153463523642443,-4.176877464181506,0.0001026116261617,-9.184559316231132,93.92800404912583,0.6773406193738383
cholesky_N768,cholesky,768,2.885361220031512,150994944.0,8.178962405374874,9437184.0,6.9748424227189485,16.0,1.4370000693850875,0.36255765538156837,0.010685245,-4.538891461133703,0.7359139584553178,-0.3066420713597639,0.0051736590444444,-5.264175095255063,0.7010861109297697,0.005511585955555599,85.39052125708645,4.447235102328643,0.6006176676666667,-0.5097967071711529,0.2721053718264715,-1.301565891283908,0.0016934439853658,-6.380990962506329,85.11841588525998,0.5989242236813009
