run,kernel_ref,level,rep,elapsed_ns,pkg_uj,dram_uj,n_compute,n_memory,freq_applied,accepted,cmd_args
pacca_cpu_final_20260913__cpu_rajaperf_basic_daxpy__F3__rep02,cpu_rajaperf_basic_daxpy,F3,2,1734710000.0,142929993,23236814,40,732,2300000,True,
pacca_cpu_final_20260913__cpu_rajaperf_basic_daxpy__F3__rep03,cpu_rajaperf_basic_daxpy,F3,3,1775460000.0,145635247,23544114,49,757,2300000,True,
pacca_cpu_final_20260913__cpu_rajaperf_basic_daxpy__F4__rep01,cpu_rajaperf_basic_daxpy,F4,1,1734000000.0,140109138,23221804,65,703,2000000,True,
pacca_cpu_final_20260913__cpu_rajaperf_basic_daxpy__F4__rep02,cpu_rajaperf_basic_daxpy,F4,2,1754200000.0,142165407,23585241,52,740,2000000,True,
pacca_cpu_final_20260913__cpu_rajaperf_basic_daxpy__F4__rep03,cpu_rajaperf_basic_daxpy,F4,3,1756900000.0,142606813,23357684,65,733,2000000,True,
pacca_cpu_final_20260913__cpu_rajaperf_basic_daxpy__F5__rep01,cpu_rajaperf_basic_daxpy,F5,1,1810020000.0,145237970,23961162,52,797,1700000,True,
pacca_cpu_final_20260913__cpu_rajaperf_basic_daxpy__F5__rep02,cpu_rajaperf_basic_daxpy,F5,2,1812820000.0,144875301,24066471,63,766,1700000,True,
pacca_cpu_final_20260913__cpu_rajaperf_basic_daxpy__F5__rep03,cpu_rajaperf_basic_daxpy,F5,3,1832330000.0,143980344,23749945,51,784,1700000,True,
pacca_cpu_final_20260913__cpu_rajaperf_basic_daxpy__F6__rep01,cpu_rajaperf_basic_daxpy,F6,1,1877010000.0,146784597,24298542,65,818,1400000,True,
pacca_cpu_final_20260913__cpu_rajaperf_basic_daxpy__F6__rep02,cpu_rajaperf_basic_daxpy,F6,2,1926260000.0,152112769,24873134,65,878,1400000,True,
pacca_cpu_final_20260913__cpu_rajaperf_basic_daxpy__F6__rep03,cpu_rajaperf_basic_daxpy,F6,3,2109990000.0,165518802,25800222,81,988,1400000,True,
pacca_cpu_final_20260913__cpu_rajaperf_basic_daxpy__F7__rep01,cpu_rajaperf_basic_daxpy,F7,1,2042330000.0,160296037,25948632,52,996,1100000,True,
pacca_cpu_final_20260913__cpu_rajaperf_basic_daxpy__F7__rep02,cpu_rajaperf_basic_daxpy,F7,2,2073710000.0,161272170,26024428,65,981,1100000,True,
pacca_cpu_final_20260913__cpu_rajaperf_basic_daxpy__F7__rep03,cpu_rajaperf_basic_daxpy,F7,3,2044210000.0,158779867,25797713,65,942,1100000,True,
pacca_cpu_final_20260913__cpu_rajaperf_basic_daxpy__F8__rep01,cpu_rajaperf_basic_daxpy,F8,1,2385050000.0,184552262,28461902,65,1348,800000,True,
pacca_cpu_final_20260913__cpu_rajaperf_basic_daxpy__F8__rep02,cpu_rajaperf_basic_daxpy,F8,2,2352350000.0,182019981,28115755,65,1311,800000,True,
pacca_cpu_final_20260913__cpu_rajaperf_basic_daxpy__F8__rep03,cpu_rajaperf_basic_daxpy,F8,3,2491350000.0,194837087,29248811,66,1460,800000,True,
pacca_cpu_final_20260913__cpu_rajaperf_basic_daxpy__REF__rep01,cpu_rajaperf_basic_daxpy,REF,1,1674020000.0,149701582,22970762,0,782,,True,
pacca_cpu_final_20260913__cpu_rajaperf_basic_daxpy__REF__rep02,cpu_rajaperf_basic_daxpy,REF,2,1634140000.0,145727471,22487466,27,719,,True,
pacca_cpu_final_20260913__cpu_rajaperf_basic_daxpy__REF__rep03,cpu_rajaperf_basic_daxpy,REF,3,1690850000.0,148932968,22773240,14,765,,True,
pacca_cpu_final_20260913__cpu_rajaperf_basic_init3__F0__rep01,cpu_rajaperf_basic_init3,F0,1,4177600000.0,422739641,71474562,0,1381,3200000,True,--repfact 3
