kernel_ref,n_gpu_telemetry,n_windows_total,quality_json,repetition,run_dir
rodinia_hotspot,656,7639,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 2205, ""pmu_degraded"": 593, ""intensity_undefined"": 4184, ""gpu_telemetry"": 656}",1,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_10000000/sweep_gpu_interval_10000000__rodinia_hotspot__REF__rep01
rodinia_hotspot,655,7574,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 2205, ""pmu_degraded"": 597, ""intensity_undefined"": 4116, ""gpu_telemetry"": 655}",2,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_10000000/sweep_gpu_interval_10000000__rodinia_hotspot__REF__rep02
rodinia_hotspot,652,7564,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 2205, ""pmu_degraded"": 594, ""intensity_undefined"": 4112, ""gpu_telemetry"": 652}",3,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_10000000/sweep_gpu_interval_10000000__rodinia_hotspot__REF__rep03
rodinia_lavamd,525,6060,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 3756, ""pmu_degraded"": 1507, ""intensity_undefined"": 271, ""gpu_telemetry"": 525}",1,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_10000000/sweep_gpu_interval_10000000__rodinia_lavamd__REF__rep01
rodinia_lavamd,522,6042,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 3745, ""pmu_degraded"": 1506, ""intensity_undefined"": 268, ""gpu_telemetry"": 522}",2,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_10000000/sweep_gpu_interval_10000000__rodinia_lavamd__REF__rep02
rodinia_lavamd,522,6044,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 3745, ""pmu_degraded"": 1505, ""intensity_undefined"": 271, ""gpu_telemetry"": 522}",3,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_10000000/sweep_gpu_interval_10000000__rodinia_lavamd__REF__rep03
rodinia_lud,822,9496,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 976, ""pmu_degraded"": 24, ""intensity_undefined"": 7673, ""gpu_telemetry"": 822}",1,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_10000000/sweep_gpu_interval_10000000__rodinia_lud__REF__rep01
rodinia_lud,860,9892,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 977, ""pmu_degraded"": 23, ""intensity_undefined"": 8031, ""gpu_telemetry"": 860}",2,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_10000000/sweep_gpu_interval_10000000__rodinia_lud__REF__rep02
rodinia_lud,826,9549,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 975, ""pmu_degraded"": 25, ""intensity_undefined"": 7722, ""gpu_telemetry"": 826}",3,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_10000000/sweep_gpu_interval_10000000__rodinia_lud__REF__rep03
rodinia_myocyte,614,7098,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 943, ""pmu_degraded"": 2417, ""intensity_undefined"": 3123, ""gpu_telemetry"": 614}",1,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_10000000/sweep_gpu_interval_10000000__rodinia_myocyte__REF__rep01
