elapsed_seconds,gpu_interval_ns,kernel_ref,n_gpu_telemetry,n_windows_total,phase_label_train,quality_json,repetition,success
1.2716122046113014,10000000,rodinia_backprop,79,912,memory_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 817, ""pmu_degraded"": 15, ""gpu_telemetry"": 79}",3,True
5.9815020160749555,10000000,rodinia_lavamd,525,6060,compute_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 3756, ""pmu_degraded"": 1507, ""intensity_undefined"": 271, ""gpu_telemetry"": 525}",1,True
5.931682707741857,10000000,rodinia_lavamd,522,6042,compute_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 3745, ""pmu_degraded"": 1506, ""intensity_undefined"": 268, ""gpu_telemetry"": 522}",2,True
5.932425036095083,10000000,rodinia_lavamd,522,6044,compute_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 3745, ""pmu_degraded"": 1505, ""intensity_undefined"": 271, ""gpu_telemetry"": 522}",3,True
0.7241422683000565,10000000,rodinia_heartwall,30,341,compute_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 278, ""pmu_degraded"": 15, ""intensity_undefined"": 17, ""gpu_telemetry"": 30}",1,True
0.7189750652760267,10000000,rodinia_heartwall,30,336,compute_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 278, ""pmu_degraded"": 15, ""intensity_undefined"": 12, ""gpu_telemetry"": 30}",2,True
0.7199736731126904,10000000,rodinia_heartwall,30,345,compute_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 278, ""pmu_degraded"": 15, ""intensity_undefined"": 21, ""gpu_telemetry"": 30}",3,True
9.089017044752836,10000000,rodinia_lud,822,9496,memory_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 976, ""pmu_degraded"": 24, ""intensity_undefined"": 7673, ""gpu_telemetry"": 822}",1,True
9.490534839220345,10000000,rodinia_lud,860,9892,memory_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 977, ""pmu_degraded"": 23, ""intensity_undefined"": 8031, ""gpu_telemetry"": 860}",2,True
9.191229517571628,10000000,rodinia_lud,826,9549,memory_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 975, ""pmu_degraded"": 25, ""intensity_undefined"": 7722, ""gpu_telemetry"": 826}",3,True
6.934617282822728,10000000,rodinia_myocyte,614,7098,memory_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 943, ""pmu_degraded"": 2417, ""intensity_undefined"": 3123, ""gpu_telemetry"": 614}",1,True
6.934042397886515,10000000,rodinia_myocyte,612,7090,memory_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 942, ""pmu_degraded"": 2418, ""intensity_undefined"": 3117, ""gpu_telemetry"": 612}",2,True
6.933976701460779,10000000,rodinia_myocyte,613,7095,memory_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 947, ""pmu_degraded"": 2434, ""intensity_undefined"": 3100, ""gpu_telemetry"": 613}",3,True
2.5233622984960675,10000000,rodinia_dwt2d,197,2279,memory_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 957, ""pmu_degraded"": 114, ""intensity_undefined"": 1010, ""gpu_telemetry"": 197}",1,True
2.5232820622622967,10000000,rodinia_dwt2d,198,2287,memory_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 934, ""pmu_degraded"": 137, ""intensity_undefined"": 1017, ""gpu_telemetry"": 198}",2,True
2.574370534159243,10000000,rodinia_dwt2d,200,2303,memory_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 955, ""pmu_degraded"": 116, ""intensity_undefined"": 1031, ""gpu_telemetry"": 200}",3,True
4.931581132113934,50000000,gpu_dgemm_n4096,89,4587,compute_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 397, ""pmu_degraded"": 3886, ""intensity_undefined"": 72, ""no_freq_reading"": 142, ""gpu_telemetry"": 89}",1,True
4.92978235706687,50000000,gpu_dgemm_n4096,89,4576,compute_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 388, ""pmu_degraded"": 3884, ""intensity_undefined"": 77, ""no_freq_reading"": 137, ""gpu_telemetry"": 89}",2,True
4.9309447929263115,50000000,gpu_dgemm_n4096,89,4581,compute_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 392, ""pmu_degraded"": 3886, ""no_freq_reading"": 142, ""intensity_undefined"": 71, ""gpu_telemetry"": 89}",3,True
7.385969787836075,50000000,rodinia_hotspot,138,7101,memory_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 2204, ""pmu_degraded"": 590, ""intensity_undefined"": 4168, ""gpu_telemetry"": 138}",1,True
7.385235955007374,50000000,rodinia_hotspot,137,7046,memory_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 2204, ""pmu_degraded"": 590, ""intensity_undefined"": 4114, ""gpu_telemetry"": 137}",2,True
7.3345798989757895,50000000,rodinia_hotspot,137,7044,memory_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 2205, ""pmu_degraded"": 592, ""intensity_undefined"": 4109, ""gpu_telemetry"": 137}",3,True
1.2712237890809774,50000000,rodinia_backprop,17,849,memory_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 816, ""pmu_degraded"": 15, ""gpu_telemetry"": 17}",1,True
1.2707159239798784,50000000,rodinia_backprop,17,848,memory_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 816, ""pmu_degraded"": 14, ""gpu_telemetry"": 17}",2,True
1.271715092472732,50000000,rodinia_backprop,17,846,memory_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 813, ""pmu_degraded"": 15, ""gpu_telemetry"": 17}",3,True
5.931421998888254,50000000,rodinia_lavamd,110,5635,compute_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 3742, ""pmu_degraded"": 1506, ""intensity_undefined"": 276, ""gpu_telemetry"": 110}",1,True
5.9315243028104305,50000000,rodinia_lavamd,110,5632,compute_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 3748, ""pmu_degraded"": 1506, ""intensity_undefined"": 267, ""gpu_telemetry"": 110}",2,True
5.931338251568377,50000000,rodinia_lavamd,110,5628,compute_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 3742, ""pmu_degraded"": 1508, ""intensity_undefined"": 267, ""gpu_telemetry"": 110}",3,True
0.7727514849975705,50000000,rodinia_heartwall,7,321,compute_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 278, ""pmu_degraded"": 15, ""intensity_undefined"": 20, ""gpu_telemetry"": 7}",1,True
0.7207708228379488,50000000,rodinia_heartwall,7,317,compute_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 278, ""pmu_degraded"": 15, ""intensity_undefined"": 16, ""gpu_telemetry"": 7}",2,True
0.7201537014916539,50000000,rodinia_heartwall,7,314,compute_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 279, ""pmu_degraded"": 14, ""intensity_undefined"": 13, ""gpu_telemetry"": 7}",3,True
9.139356712810695,50000000,rodinia_lud,172,8862,memory_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 976, ""pmu_degraded"": 24, ""intensity_undefined"": 7689, ""gpu_telemetry"": 172}",1,True
9.088182997889817,50000000,rodinia_lud,172,8860,memory_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 976, ""pmu_degraded"": 24, ""intensity_undefined"": 7687, ""gpu_telemetry"": 172}",2,True
9.389907764270902,50000000,rodinia_lud,177,9118,memory_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 974, ""pmu_degraded"": 26, ""intensity_undefined"": 7940, ""gpu_telemetry"": 177}",3,True
6.883117203600705,50000000,rodinia_myocyte,128,6598,memory_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 958, ""pmu_degraded"": 2409, ""intensity_undefined"": 3102, ""gpu_telemetry"": 128}",1,True
6.983930352143943,50000000,rodinia_myocyte,130,6673,memory_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 959, ""pmu_degraded"": 2433, ""intensity_undefined"": 3150, ""gpu_telemetry"": 130}",2,True
