family,kernel_ref,freq_level_id,n_compute_bound,n_memory_bound,n_rows_usable,memory_fraction
phasic,phasic_p100,F8,2536,2038,4574,0.4455618714473109
phasic,phasic_p100,REF,2536,2014,4550,0.44263736263736264
phasic,phasic_p1000,F0,2274,2254,4528,0.49779151943462896
phasic,phasic_p1000,F1,2278,2251,4529,0.49701920953852946
phasic,phasic_p1000,F2,2276,2252,4528,0.49734982332155475
phasic,phasic_p1000,F3,2279,2250,4529,0.4967984102450872
phasic,phasic_p1000,F4,2286,2246,4532,0.49558693733451015
phasic,phasic_p1000,F5,2281,2256,4537,0.49724487546837115
phasic,phasic_p1000,F6,2292,2249,4541,0.4952653600528518
phasic,phasic_p1000,F7,2291,2258,4549,0.4963728291932293
phasic,phasic_p1000,F8,2314,2249,4563,0.4928774928774929
phasic,phasic_p1000,REF,2278,2266,4544,0.49867957746478875
rajaperf_apps_edge3d,cpu_rajaperf_apps_edge3d,F0,1723,0,1723,0.0
rajaperf_apps_edge3d,cpu_rajaperf_apps_edge3d,F1,1909,0,1909,0.0
rajaperf_apps_edge3d,cpu_rajaperf_apps_edge3d,F2,2140,0,2140,0.0
rajaperf_apps_edge3d,cpu_rajaperf_apps_edge3d,F3,2435,0,2435,0.0
rajaperf_apps_edge3d,cpu_rajaperf_apps_edge3d,F4,2811,0,2811,0.0
rajaperf_apps_edge3d,cpu_rajaperf_apps_edge3d,F5,3331,0,3331,0.0
rajaperf_apps_edge3d,cpu_rajaperf_apps_edge3d,F6,4082,0,4082,0.0
rajaperf_apps_edge3d,cpu_rajaperf_apps_edge3d,F7,5244,0,5244,0.0
rajaperf_apps_edge3d,cpu_rajaperf_apps_edge3d,F8,7307,6,7313,0.0008204567209079721
rajaperf_apps_edge3d,cpu_rajaperf_apps_edge3d,REF,1768,5,1773,0.0028200789622109417
rajaperf_apps_fir,cpu_rajaperf_apps_fir,F0,940,0,940,0.0
rajaperf_apps_fir,cpu_rajaperf_apps_fir,F1,1048,0,1048,0.0
rajaperf_apps_fir,cpu_rajaperf_apps_fir,F2,1174,0,1174,0.0
rajaperf_apps_fir,cpu_rajaperf_apps_fir,F3,1339,0,1339,0.0
rajaperf_apps_fir,cpu_rajaperf_apps_fir,F4,1551,0,1551,0.0
rajaperf_apps_fir,cpu_rajaperf_apps_fir,F5,1841,0,1841,0.0
rajaperf_apps_fir,cpu_rajaperf_apps_fir,F6,2258,0,2258,0.0
rajaperf_apps_fir,cpu_rajaperf_apps_fir,F7,2912,0,2912,0.0
rajaperf_apps_fir,cpu_rajaperf_apps_fir,F8,4056,12,4068,0.0029498525073746312
rajaperf_apps_fir,cpu_rajaperf_apps_fir,REF,983,10,993,0.010070493454179255
rajaperf_apps_mass3dpa,cpu_rajaperf_apps_mass3dpa,F0,1131,0,1131,0.0
rajaperf_apps_mass3dpa,cpu_rajaperf_apps_mass3dpa,F1,1256,0,1256,0.0
rajaperf_apps_mass3dpa,cpu_rajaperf_apps_mass3dpa,F2,1384,0,1384,0.0
rajaperf_apps_mass3dpa,cpu_rajaperf_apps_mass3dpa,F3,1563,0,1563,0.0
rajaperf_apps_mass3dpa,cpu_rajaperf_apps_mass3dpa,F4,1801,0,1801,0.0
rajaperf_apps_mass3dpa,cpu_rajaperf_apps_mass3dpa,F5,2153,0,2153,0.0
rajaperf_apps_mass3dpa,cpu_rajaperf_apps_mass3dpa,F6,2612,0,2612,0.0
rajaperf_apps_mass3dpa,cpu_rajaperf_apps_mass3dpa,F7,3357,0,3357,0.0
rajaperf_apps_mass3dpa,cpu_rajaperf_apps_mass3dpa,F8,4694,0,4694,0.0
rajaperf_apps_mass3dpa,cpu_rajaperf_apps_mass3dpa,REF,1157,6,1163,0.005159071367153913
rajaperf_basic,cpu_rajaperf_basic_daxpy,F0,2,157,159,0.9874213836477987
rajaperf_basic,cpu_rajaperf_basic_daxpy,F1,3,159,162,0.9814814814814815
rajaperf_basic,cpu_rajaperf_basic_daxpy,F2,6,149,155,0.9612903225806452
rajaperf_basic,cpu_rajaperf_basic_daxpy,F3,9,167,176,0.9488636363636364
rajaperf_basic,cpu_rajaperf_basic_daxpy,F4,14,166,180,0.9222222222222223
rajaperf_basic,cpu_rajaperf_basic_daxpy,F5,13,177,190,0.9315789473684211
rajaperf_basic,cpu_rajaperf_basic_daxpy,F6,16,199,215,0.9255813953488372
rajaperf_basic,cpu_rajaperf_basic_daxpy,F7,14,219,233,0.9399141630901288
rajaperf_basic,cpu_rajaperf_basic_daxpy,F8,15,315,330,0.9545454545454546
rajaperf_basic,cpu_rajaperf_basic_daxpy,REF,3,174,177,0.9830508474576272
rajaperf_basic,cpu_rajaperf_basic_init3,F0,0,320,320,1.0
rajaperf_basic,cpu_rajaperf_basic_init3,F1,0,282,282,1.0
rajaperf_basic,cpu_rajaperf_basic_init3,F2,0,317,317,1.0
rajaperf_basic,cpu_rajaperf_basic_init3,F3,0,316,316,1.0
rajaperf_basic,cpu_rajaperf_basic_init3,F4,0,366,366,1.0
rajaperf_basic,cpu_rajaperf_basic_init3,F5,0,387,387,1.0
rajaperf_basic,cpu_rajaperf_basic_init3,F6,0,408,408,1.0
rajaperf_basic,cpu_rajaperf_basic_init3,F7,6,523,529,0.9886578449905482
rajaperf_basic,cpu_rajaperf_basic_init3,F8,9,752,761,0.988173455978975
rajaperf_basic,cpu_rajaperf_basic_init3,REF,8,321,329,0.9756838905775076
rajaperf_basic_mat_mat_shared,cpu_rajaperf_basic_mat_mat_shared,F0,1311,0,1311,0.0
rajaperf_basic_mat_mat_shared,cpu_rajaperf_basic_mat_mat_shared,F1,1451,0,1451,0.0
rajaperf_basic_mat_mat_shared,cpu_rajaperf_basic_mat_mat_shared,F2,1640,15,1655,0.00906344410876133
rajaperf_basic_mat_mat_shared,cpu_rajaperf_basic_mat_mat_shared,F3,1858,0,1858,0.0
rajaperf_basic_mat_mat_shared,cpu_rajaperf_basic_mat_mat_shared,F4,2140,0,2140,0.0
rajaperf_basic_mat_mat_shared,cpu_rajaperf_basic_mat_mat_shared,F5,2528,0,2528,0.0
rajaperf_basic_mat_mat_shared,cpu_rajaperf_basic_mat_mat_shared,F6,3092,0,3092,0.0
rajaperf_basic_mat_mat_shared,cpu_rajaperf_basic_mat_mat_shared,F7,3972,1,3973,0.0002516989680342311
rajaperf_basic_mat_mat_shared,cpu_rajaperf_basic_mat_mat_shared,F8,5542,4,5546,0.000721240533717995
rajaperf_basic_mat_mat_shared,cpu_rajaperf_basic_mat_mat_shared,REF,1357,5,1362,0.003671071953010279
rajaperf_basic_pi_reduce,cpu_rajaperf_basic_pi_reduce,F0,1100,0,1100,0.0
