threshold,family,class,n,seed,decided,coverage,accuracy_decided
0.9,gpu_cutlass_simt_dgemm_n4096,compute_bound,24,2.0,15.0,0.625,1.0
0.9,minibude_cuda_bm1,compute_bound,3,2.0,3.0,1.0,1.0
0.9,rajaperf_cuda_gemm,compute_bound,9,2.0,8.4,0.9333333333333332,0.7333333333333333
0.9,rajaperf_cuda_gemm,memory_bound,9,2.0,8.4,0.9333333333333332,1.0
0.9,rajaperf_cuda_heat_3d,memory_bound,18,2.0,15.6,0.8666666666666666,1.0
0.9,rajaperf_cuda_jacobi_2d,memory_bound,30,2.0,28.4,0.9466666666666667,1.0
0.9,rajaperf_stream,memory_bound,30,2.0,30.0,1.0,1.0
0.9,rodinia_gaussian,memory_bound,30,2.0,6.0,0.2,1.0
0.9,rodinia_heartwall,compute_bound,30,2.0,6.0,0.2,1.0
0.9,rodinia_kmeans_gpu_N350000_D34_K200,compute_bound,30,2.0,4.2,0.14,1.0
0.9,rodinia_lud,compute_bound,12,2.0,12.0,1.0,0.0
0.9,rodinia_lud,memory_bound,18,2.0,18.0,1.0,1.0
