run_id,repetition,kernel_ref,node_id,phase_label_hint,phase_label_train,freq_level_id,freq_khz_requested,freq_khz_applied,freq_khz_observed,window_index,t_start_ns,t_end_ns,delta_t_ns,delta_instructions,delta_cycles,delta_cache_references,delta_cache_misses,delta_stalled_cycles_backend,stall_backend_ratio,delta_l2_lines_in_all,bytes_moved_l2_proxy,ipc,llc_miss_rate,mpki,ips,ipc_relative,mpki_relative,miss_rate_relative,delta_running_ns,delta_enabled_ns,running_ratio,pkg_delta_uj,dram_delta_uj,power_w,energy_valid,flops_window_estimate,bytes_moved_window,operational_intensity,i_ridge_used,roofline_calibration_ref,node_profile_ref,calibration_ref,binary_checksum,quality_status
pacca_ref_full_20260806__npb_bt__REF__rep01,1,npb_bt,pacca-a100,intermedio,memory_bound,REF,,,2261000,20,5351119203782272,5351119204782401,1000129,4271806,7894301,162114,137806,6208678,0.7864759653831289,165825,10612800,0.5411253003907502,0.8500561333382681,32.2594237659669,4271255008.103955,,,,5997293,5997293,1.0,122680,7558,119.61043734637985,1,2010744.4639685347,8819584,0.22798631590430282,1.2298192786552977,/home/latorresn/hyperion-results/campaigns/pacca_ref_full_20260806/roofline_calibration.json,/home/latorresn/hyperion-results/campaigns/pacca_ref_full_20260806/node_profile.json,/home/latorresn/hyperion-results/campaigns/pacca_ref_full_20260806/calibration_references.json,{'pacca-a100': 'sha256:9d07435d10dab4eec6c494df502c074dd9261088cc9c96f32ad1c17e86b6590c'},warmup_excluded
pacca_ref_full_20260806__npb_bt__REF__rep01,1,npb_bt,pacca-a100,intermedio,memory_bound,REF,,,2261000,21,5351119204782401,5351119205782150,999749,25700600,15527333,203822,165483,7574542,0.4878198979824803,200752,12848128,1.655184441526436,0.8118995986694273,6.438876913379454,25707052470.17001,,,,5981788,5981788,1.0,131530,12485,130.83630590608593,1,12097304.78646964,10590912,1.14223447295848,1.2298192786552977,/home/latorresn/hyperion-results/campaigns/pacca_ref_full_20260806/roofline_calibration.json,/home/latorresn/hyperion-results/campaigns/pacca_ref_full_20260806/node_profile.json,/home/latorresn/hyperion-results/campaigns/pacca_ref_full_20260806/calibration_references.json,{'pacca-a100': 'sha256:9d07435d10dab4eec6c494df502c074dd9261088cc9c96f32ad1c17e86b6590c'},warmup_excluded
pacca_ref_full_20260806__npb_bt__REF__rep01,1,npb_bt,pacca-a100,intermedio,compute_bound,REF,,,2261000,22,5351119205782150,5351119206781927,999777,73012959,20805885,135521,121773,784751,0.03771774187928079,135465,8669760,3.5092455331748686,0.8985544675732913,1.6678272140703132,73029244521.52829,,,,5993032,5993032,1.0,102722,16677,105.58916827534881,1,34367291.75136034,7793472,4.409753669655879,1.2298192786552977,/home/latorresn/hyperion-results/campaigns/pacca_ref_full_20260806/roofline_calibration.json,/home/latorresn/hyperion-results/campaigns/pacca_ref_full_20260806/node_profile.json,/home/latorresn/hyperion-results/campaigns/pacca_ref_full_20260806/calibration_references.json,{'pacca-a100': 'sha256:9d07435d10dab4eec6c494df502c074dd9261088cc9c96f32ad1c17e86b6590c'},warmup_excluded
pacca_ref_full_20260806__npb_bt__REF__rep01,1,npb_bt,pacca-a100,intermedio,compute_bound,REF,,,2261000,23,5351119206781927,5351119207781822,999895,73199838,20825689,136169,119673,770732,0.037008715533973446,136201,8716864,3.5148819325977643,0.8788564210650001,1.6348806673588538,73207524790.10297,,,,5998150,5998150,1.0,105774,13189,105.98512236374859,1,34455255.93200946,7659072,4.498620189496777,1.2298192786552977,/home/latorresn/hyperion-results/campaigns/pacca_ref_full_20260806/roofline_calibration.json,/home/latorresn/hyperion-results/campaigns/pacca_ref_full_20260806/node_profile.json,/home/latorresn/hyperion-results/campaigns/pacca_ref_full_20260806/calibration_references.json,{'pacca-a100': 'sha256:9d07435d10dab4eec6c494df502c074dd9261088cc9c96f32ad1c17e86b6590c'},warmup_excluded
pacca_ref_full_20260806__npb_bt__REF__rep01,1,npb_bt,pacca-a100,intermedio,compute_bound,REF,,,2261000,24,5351119207781822,5351119208781857,1000035,73092119,20847698,136043,112687,782420,0.03753028271994347,136116,8711424,3.506004308005613,0.8283189873789905,1.5417120414856218,73089560865.3697,,,,5999347,5999347,1.0,136718,9287,136.8514301443908,1,34404552.46305178,7211968,4.77048046567203,1.2298192786552977,/home/latorresn/hyperion-results/campaigns/pacca_ref_full_20260806/roofline_calibration.json,/home/latorresn/hyperion-results/campaigns/pacca_ref_full_20260806/node_profile.json,/home/latorresn/hyperion-results/campaigns/pacca_ref_full_20260806/calibration_references.json,{'pacca-a100': 'sha256:9d07435d10dab4eec6c494df502c074dd9261088cc9c96f32ad1c17e86b6590c'},warmup_excluded
pacca_ref_full_20260806__npb_bt__REF__rep01,1,npb_bt,pacca-a100,intermedio,compute_bound,REF,,,2261000,25,5351119208781857,5351119209781912,1000055,72921995,20840789,135959,107852,825425,0.039606226040674375,135845,8694080,3.4990035645963307,0.7932685589037872,1.479005065618405,72917984510.85191,,,,5999953,5999953,1.0,116211,8874,116.25273473176871,1,34324474.882003345,6902528,4.972739680592871,1.2298192786552977,/home/latorresn/hyperion-results/campaigns/pacca_ref_full_20260806/roofline_calibration.json,/home/latorresn/hyperion-results/campaigns/pacca_ref_full_20260806/node_profile.json,/home/latorresn/hyperion-results/campaigns/pacca_ref_full_20260806/calibration_references.json,{'pacca-a100': 'sha256:9d07435d10dab4eec6c494df502c074dd9261088cc9c96f32ad1c17e86b6590c'},warmup_excluded
pacca_ref_full_20260806__npb_bt__REF__rep01,1,npb_bt,pacca-a100,intermedio,compute_bound,REF,,,2261000,26,5351119209781912,5351119210782070,1000158,60237062,20854951,115047,86615,3968994,0.19031423281694596,114538,7330432,2.888381852347675,0.7528662198927395,1.4379021340715457,60227546047.724464,,,,6003644,6003644,1.0,128723,11092,128.68992668884096,1,28353660.94392615,5543360,5.11488717022278,1.2298192786552977,/home/latorresn/hyperion-results/campaigns/pacca_ref_full_20260806/roofline_calibration.json,/home/latorresn/hyperion-results/campaigns/pacca_ref_full_20260806/node_profile.json,/home/latorresn/hyperion-results/campaigns/pacca_ref_full_20260806/calibration_references.json,{'pacca-a100': 'sha256:9d07435d10dab4eec6c494df502c074dd9261088cc9c96f32ad1c17e86b6590c'},warmup_excluded
pacca_ref_full_20260806__npb_bt__REF__rep01,1,npb_bt,pacca-a100,intermedio,compute_bound,REF,,,2261000,27,5351119210782070,5351119211781934,999864,53185701,20826613,100212,84812,5427473,0.26060276819855444,100261,6416704,2.553737422402769,0.8463257893266275,1.5946391305437528,53192935239.19253,,,,5996426,5996426,1.0,136352,9058,136.05892906679014,1,25034576.44097971,5427968,4.612145178634014,1.2298192786552977,/home/latorresn/hyperion-results/campaigns/pacca_ref_full_20260806/roofline_calibration.json,/home/latorresn/hyperion-results/campaigns/pacca_ref_full_20260806/node_profile.json,/home/latorresn/hyperion-results/campaigns/pacca_ref_full_20260806/calibration_references.json,{'pacca-a100': 'sha256:9d07435d10dab4eec6c494df502c074dd9261088cc9c96f32ad1c17e86b6590c'},warmup_excluded
pacca_ref_full_20260806__npb_bt__REF__rep01,1,npb_bt,pacca-a100,intermedio,compute_bound,REF,,,2261000,28,5351119211781934,5351119212781813,999879,53379440,20845781,100285,82346,5414550,0.25974320655100425,100325,6420800,2.560683142550524,0.8211198085456449,1.5426538757244364,53385899693.86296,,,,5999255,5999255,1.0,112121,8660,112.18023116205357,1,25125769.63226808,5270144,4.767567951135316,1.2298192786552977,/home/latorresn/hyperion-results/campaigns/pacca_ref_full_20260806/roofline_calibration.json,/home/latorresn/hyperion-results/campaigns/pacca_ref_full_20260806/node_profile.json,/home/latorresn/hyperion-results/campaigns/pacca_ref_full_20260806/calibration_references.json,{'pacca-a100': 'sha256:9d07435d10dab4eec6c494df502c074dd9261088cc9c96f32ad1c17e86b6590c'},warmup_excluded
pacca_ref_full_20260806__npb_bt__REF__rep01,1,npb_bt,pacca-a100,intermedio,compute_bound,REF,,,2261000,29,5351119212781813,5351119213781978,1000165,53788101,20867504,100921,78472,5323307,0.25510032249185144,100887,6456768,2.5776010873173907,0.7775586845156113,1.458910029190285,53779227427.47447,,,,6002649,6002649,1.0,118286,9042,118.29771147343587,1,25318126.87962197,5022208,5.041234229968566,1.2298192786552977,/home/latorresn/hyperion-results/campaigns/pacca_ref_full_20260806/roofline_calibration.json,/home/latorresn/hyperion-results/campaigns/pacca_ref_full_20260806/node_profile.json,/home/latorresn/hyperion-results/campaigns/pacca_ref_full_20260806/calibration_references.json,{'pacca-a100': 'sha256:9d07435d10dab4eec6c494df502c074dd9261088cc9c96f32ad1c17e86b6590c'},warmup_excluded
