run_id,repetition,kernel_ref,node_id,phase_label_hint,phase_label_train,freq_level_id,freq_khz_requested,freq_khz_applied,freq_khz_observed,window_index,t_start_ns,t_end_ns,delta_t_ns,delta_instructions,delta_cycles,delta_cache_references,delta_cache_misses,delta_stalled_cycles_backend,stall_backend_ratio,delta_l2_lines_in_all,bytes_moved_l2_proxy,ipc,llc_miss_rate,mpki,ips,ipc_relative,mpki_relative,miss_rate_relative,delta_running_ns,delta_enabled_ns,running_ratio,pkg_delta_uj,dram_delta_uj,power_w,energy_valid,flops_window_estimate,bytes_moved_window,operational_intensity,i_ridge_used,roofline_calibration_ref,node_profile_ref,calibration_ref,binary_checksum,quality_status,gpu_power_mw,gpu_util_pct
pacca_gpu_ref_20260807__rodinia_heartwall__REF__rep93,93,rodinia_heartwall,pacca-a100,compute_bound,,REF,,,2261000,4625,5511643006388705,5511643007385420,996715,0,0,0,0,0,,0,0,,,,0.0,,,,0,0,0.0,,,,0,,0,nan,1.2362137734822234,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/roofline_calibration_REF.json,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/node_profile.json,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/calibration_references.json,{'pacca-a100': 'sha256:72e9b633d928bc0219c9f2e373552475e54c8dbb2d5b6ff73c9e6284a80eb795'},pmu_degraded,,
pacca_gpu_ref_20260807__rodinia_heartwall__REF__rep93,93,rodinia_heartwall,pacca-a100,compute_bound,,REF,,,2261000,4626,5511643007385420,5511643008388432,1003012,120606,269731,11933,7,179378,0.6650255254308922,12373,791872,0.4471343672028799,0.0005866085644850415,0.05804023017096994,120243825.59730093,,,,126399,126399,1.0,,,,0,,448,nan,1.2362137734822234,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/roofline_calibration_REF.json,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/node_profile.json,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/calibration_references.json,{'pacca-a100': 'sha256:72e9b633d928bc0219c9f2e373552475e54c8dbb2d5b6ff73c9e6284a80eb795'},intensity_undefined,,
pacca_gpu_ref_20260807__rodinia_heartwall__REF__rep93,93,rodinia_heartwall,pacca-a100,compute_bound,,REF,,,2261000,4627,5511643008388432,5511643009385512,997080,988665,718941,4418,2,121299,0.16871899084904046,3966,253824,1.3751684769682073,0.0004526935264825713,0.0020229299105359246,991560356.2402214,,,,234294,234294,1.0,,,,0,,128,nan,1.2362137734822234,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/roofline_calibration_REF.json,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/node_profile.json,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/calibration_references.json,{'pacca-a100': 'sha256:72e9b633d928bc0219c9f2e373552475e54c8dbb2d5b6ff73c9e6284a80eb795'},intensity_undefined,,
pacca_gpu_ref_20260807__rodinia_heartwall__REF__rep93,93,rodinia_heartwall,pacca-a100,compute_bound,,REF,,,2261000,4628,5511643009385512,5511643010388680,1003168,0,0,0,0,0,,0,0,,,,0.0,,,,0,0,0.0,,,,0,,0,nan,1.2362137734822234,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/roofline_calibration_REF.json,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/node_profile.json,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/calibration_references.json,{'pacca-a100': 'sha256:72e9b633d928bc0219c9f2e373552475e54c8dbb2d5b6ff73c9e6284a80eb795'},pmu_degraded,,
pacca_gpu_ref_20260807__rodinia_heartwall__REF__rep93,93,rodinia_heartwall,pacca-a100,compute_bound,,REF,,,2261000,4629,5511643010388680,5511643011385371,996691,0,0,0,0,0,,0,0,,,,0.0,,,,0,0,0.0,,,,0,,0,nan,1.2362137734822234,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/roofline_calibration_REF.json,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/node_profile.json,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/calibration_references.json,{'pacca-a100': 'sha256:72e9b633d928bc0219c9f2e373552475e54c8dbb2d5b6ff73c9e6284a80eb795'},pmu_degraded,,
pacca_gpu_ref_20260807__rodinia_heartwall__REF__rep93,93,rodinia_heartwall,pacca-a100,compute_bound,,REF,,,2261000,4630,5511643011385371,5511643012388275,1002904,0,0,0,0,0,,0,0,,,,0.0,,,,0,0,0.0,,,,0,,0,nan,1.2362137734822234,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/roofline_calibration_REF.json,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/node_profile.json,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/calibration_references.json,{'pacca-a100': 'sha256:72e9b633d928bc0219c9f2e373552475e54c8dbb2d5b6ff73c9e6284a80eb795'},pmu_degraded,,
pacca_gpu_ref_20260807__rodinia_heartwall__REF__rep93,93,rodinia_heartwall,pacca-a100,compute_bound,,REF,,,2261000,4631,5511643012388275,5511643013385516,997241,0,0,0,0,0,,0,0,,,,0.0,,,,0,0,0.0,,,,0,,0,nan,1.2362137734822234,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/roofline_calibration_REF.json,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/node_profile.json,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/calibration_references.json,{'pacca-a100': 'sha256:72e9b633d928bc0219c9f2e373552475e54c8dbb2d5b6ff73c9e6284a80eb795'},pmu_degraded,,
pacca_gpu_ref_20260807__rodinia_heartwall__REF__rep93,93,rodinia_heartwall,pacca-a100,compute_bound,,REF,,,2261000,4632,5511643013385516,5511643014388725,1003209,1112973,1000399,16645,12,312323,0.3121984328253027,16617,1063488,1.1125291008887455,0.000720937218383899,0.01078193271534889,1109412894.02308,,,,361095,361095,1.0,,,,0,,768,nan,1.2362137734822234,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/roofline_calibration_REF.json,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/node_profile.json,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/calibration_references.json,{'pacca-a100': 'sha256:72e9b633d928bc0219c9f2e373552475e54c8dbb2d5b6ff73c9e6284a80eb795'},intensity_undefined,,
pacca_gpu_ref_20260807__rodinia_heartwall__REF__rep93,93,rodinia_heartwall,pacca-a100,compute_bound,,REF,,,2261000,4633,5511643014388725,5511643015385363,996638,0,0,0,0,0,,0,0,,,,0.0,,,,0,0,0.0,,,,0,,0,nan,1.2362137734822234,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/roofline_calibration_REF.json,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/node_profile.json,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/calibration_references.json,{'pacca-a100': 'sha256:72e9b633d928bc0219c9f2e373552475e54c8dbb2d5b6ff73c9e6284a80eb795'},pmu_degraded,,
pacca_gpu_ref_20260807__rodinia_heartwall__REF__rep93,93,rodinia_heartwall,pacca-a100,compute_bound,,REF,,,2261000,4634,5511643015385363,5511643016388239,1002876,0,0,0,0,0,,0,0,,,,0.0,,,,0,0,0.0,,,,0,,0,nan,1.2362137734822234,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/roofline_calibration_REF.json,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/node_profile.json,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/calibration_references.json,{'pacca-a100': 'sha256:72e9b633d928bc0219c9f2e373552475e54c8dbb2d5b6ff73c9e6284a80eb795'},pmu_degraded,,
