fold,regime,resource_state,k,selected_baseline,selected_baseline_edp_sum_ratio_vs_oracle,selected_model,selected_model_edp_sum_ratio_vs_oracle,n,oracle_edp_sum_js,selected_baseline_edp_sum_js,selected_model_edp_sum_js,model_improvement_pct,model_beats_baseline_above_noise_floor,adopted_policy
interpolation_fold2,interpolation,gpu_ready,10,operation_crossover_table_train,1.0372271179254484,model_regression:random_forest+probe,1.021526877690953,16,10.421106286132018,10.809054038759486,10.645440166558002,1.5136742920776491,False,baseline
interpolation_fold2,interpolation,gpu_ready,30,operation_crossover_table_train,1.006953930568076,model_regression:random_forest+probe,1.018176650754496,16,85.48379744395169,86.07824583607238,87.03760657525848,-1.1145217120398732,False,baseline
interpolation_fold2,interpolation,gpu_ready,100,operation_crossover_table_train,1.001842010677841,model_regression:random_forest+probe,1.006269955082648,16,920.2730554062289,921.9682082008168,926.0431261273972,-0.44198030803390687,False,baseline
interpolation_fold2,interpolation,gpu_ready,1000,operation_crossover_table_train,1.000634762375786,model_regression:random_forest+probe,1.0061480386579378,16,90936.31011062865,90994.03305887964,91495.390060599,-0.5509778881818583,False,baseline
interpolation_fold2,interpolation,none_ready,1,always_cpu_ref,1.0,model_regression:random_forest+probe,1.0,16,1.2163202822412733,1.2163202822412733,1.2163202822412733,0.0,False,baseline
interpolation_fold2,interpolation,none_ready,2,always_cpu_ref,1.0,model_regression:random_forest+probe,1.0,16,2.5371061999596387,2.5371061999596387,2.5371061999596387,0.0,False,baseline
interpolation_fold2,interpolation,none_ready,3,always_cpu_ref,1.0,model_regression:random_forest+probe,1.0,16,4.481890985784355,4.481890985784355,4.481890985784355,0.0,False,baseline
interpolation_fold2,interpolation,none_ready,5,k_break_even_table_train,1.0,model_regression:random_forest+probe,1.0,16,10.243457161752843,10.243457161752843,10.243457161752843,0.0,False,baseline
interpolation_fold2,interpolation,none_ready,10,k_break_even_table_train,1.0,model_regression:random_forest+probe,1.0,16,35.567352793535214,35.567352793535214,35.567352793535214,0.0,False,baseline
interpolation_fold2,interpolation,none_ready,30,k_break_even_table_train,1.050134293634864,model_regression:random_forest+probe,1.1953032037484383,16,292.86265234725255,307.5451145547148,350.0596666089361,-13.823842435532342,False,baseline
interpolation_fold2,interpolation,none_ready,100,k_break_even_table_train,1.0,model_regression:random_forest+probe,1.5358361912450589,16,1455.7598240708382,1455.7598240708382,2235.808623568533,-53.58361912450589,False,baseline
interpolation_fold2,interpolation,none_ready,1000,k_break_even_table_train,1.002913300836067,model_regression:random_forest+probe,2.003087371656022,16,95146.0496255916,95423.23869151429,190585.85046797968,-99.72687270037915,False,baseline
