fold,regime,resource_state,k,method,name,with_probe,abstention_rate,tuned,n,accuracy,balanced_accuracy,mcc,precision_migrate_gpu,recall_migrate_gpu,tp_gpu,fp_gpu,fn_gpu,tn_cpu,regret_ratio_mean,regret_ratio_median,regret_ratio_p95,regret_ratio_max,oracle_savings_captured_pct,edp_sum_js,edp_sum_ratio_vs_oracle
interpolation_fold0,interpolation,cpu_ready,3,baseline,oracle,,,,20,1.0,1.0,,,,0,0,0,20,1.0,1.0,1.0,1.0,100.0,11.673242316685208,1.0
interpolation_fold0,interpolation,cpu_ready,5,baseline,oracle,,,,20,1.0,1.0,,,,0,0,0,20,1.0,1.0,1.0,1.0,100.0,32.42567310190335,1.0
interpolation_fold0,interpolation,cpu_ready,10,baseline,oracle,,,,20,1.0,1.0,,,,0,0,0,20,1.0,1.0,1.0,1.0,100.0,129.7026924076134,1.0
interpolation_fold0,interpolation,cpu_ready,30,baseline,oracle,,,,20,1.0,1.0,1.0,1.0,1.0,3,0,0,17,1.0,1.0,1.0,1.0,100.0,436.6810655040845,1.0
interpolation_fold0,interpolation,cpu_ready,100,baseline,oracle,,,,20,1.0,1.0,1.0,1.0,1.0,3,0,0,17,1.0,1.0,1.0,1.0,100.0,1681.4501734906037,1.0
interpolation_fold0,interpolation,cpu_ready,1000,baseline,oracle,,,,20,1.0,1.0,1.0,1.0,1.0,5,0,0,15,1.0,1.0,1.0,1.0,100.0,86816.24917096923,1.0
interpolation_fold0,interpolation,cpu_ready,1,baseline,stay_on_ready_device_k,,,,20,1.0,1.0,,,,0,0,0,20,1.0,1.0,1.0,1.0,100.0,1.2970269240761343,1.0
interpolation_fold0,interpolation,cpu_ready,2,baseline,stay_on_ready_device_k,,,,20,1.0,1.0,,,,0,0,0,20,1.0,1.0,1.0,1.0,100.0,5.188107696304537,1.0
interpolation_fold0,interpolation,cpu_ready,3,baseline,stay_on_ready_device_k,,,,20,1.0,1.0,,,,0,0,0,20,1.0,1.0,1.0,1.0,100.0,11.673242316685208,1.0
interpolation_fold0,interpolation,cpu_ready,5,baseline,stay_on_ready_device_k,,,,20,1.0,1.0,,,,0,0,0,20,1.0,1.0,1.0,1.0,100.0,32.42567310190335,1.0
interpolation_fold0,interpolation,cpu_ready,10,baseline,stay_on_ready_device_k,,,,20,1.0,1.0,,,,0,0,0,20,1.0,1.0,1.0,1.0,100.0,129.7026924076134,1.0
interpolation_fold0,interpolation,cpu_ready,30,baseline,stay_on_ready_device_k,,,,20,0.85,0.5,,,0.0,0,0,3,17,1.2947443010811233,1.0,2.2620818912369813,5.315735105181755,85.0,1167.3242316685205,2.6731734528517173
interpolation_fold0,interpolation,cpu_ready,100,baseline,stay_on_ready_device_k,,,,20,0.85,0.5,,,0.0,0,0,3,17,2.345905845046913,1.0,6.0903822741780465,19.928378383895858,85.0,12970.269240761341,7.713739868863157
interpolation_fold0,interpolation,cpu_ready,1000,baseline,stay_on_ready_device_k,,,,20,0.75,0.5,,,0.0,0,0,5,15,4.5081279690078375,1.0,11.374536120920762,48.903209075121126,75.0,1297026.924076134,14.93990971116328
