kernel_ref,freq_level_id,cv3_fixed,cv3_median,cv3_p95,cv3_max,cv6_fixed,cv10_all
rajaperf_polybench_3mm_omp,F2,0.7770751394295847,0.5207323170535478,0.9747642680263622,1.0261826908540352,0.566870768363956,0.7228283600902228
npb_sp,F3,0.23643627671600123,0.3724427712926285,0.960229007201777,1.049788595047503,0.7195455483494236,0.6323439145560799
npb_bt,REF,0.2987974975718976,0.6496962624238561,0.9306910237327035,1.0375271538040587,0.7338250369491865,0.7606163826581352
npb_cg,F2,0.3112467817177093,0.5432773974938221,0.910038687745972,1.0002438244350573,0.49093473559600226,0.69610879679688
dgemm_n2048,F4,0.6442491339299198,0.5428652229217117,0.8944655641931609,0.97407926469211,0.7388010008741199,0.6971540783963546
npb_cg,F3,0.5813220374684053,0.5619257091986338,0.8842109257490282,0.9812674408400069,0.5766893605368046,0.6810423676043531
npb_bt,F3,0.4351439651491604,0.7092136521629288,0.8830339359984859,0.9341402806437702,0.6786341251852596,0.7757141240393793
npb_sp,F0,0.8625405076915359,0.5867993381489216,0.8625405076915359,0.9324360638708312,0.7354995048381924,0.6963622075929194
dgemm_n2048,REF,0.5110526400281543,0.5533685609384015,0.7909294265795253,0.8608274906131845,0.6100649347235572,0.6447520368650371
dgemm_n2048,F1,0.16768794995900788,0.3923962113407432,0.7678703881977808,0.819554860807403,0.5627989424515976,0.4853538811931875
npb_lu,F1,0.48556332349752207,0.4859684199557554,0.6959873697411632,0.7307498423482731,0.5086935088343166,0.5595370372943322
npb_bt,F4,0.41078253875485415,0.27733566682686267,0.6352106147304737,0.6696385612810585,0.5046106599838937,0.3979893582215316
npb_bt,F1,0.6076391693778272,0.2804016468708129,0.609246648198147,0.6750094501747335,0.5122451830835933,0.4264531889727679
rajaperf_polybench_3mm_omp,F4,0.03684104441694798,0.30079749895617724,0.5840868474597818,0.6208841474902048,0.2985297608743577,0.4051791563750733
rodinia_lavamd_omp,F2,0.022383042106191374,0.11471594270499715,0.19972448932418477,0.2171361227049059,0.14587961464924235,0.1489078158812594
