ipc_cv_pct,ipc_mean,kernel_ref,n_windows_ok,n_windows_total,quality_json,repetition,run_dir
21.490993371149756,2.8691746179643274,npb_bt,12417,12458,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 40, ""ok"": 12417}",2,/home/latorresn/hyperion-results/sweeps/interval_ns/interval_2000000/sweep_interval_2000000__npb_bt__REF__rep02
21.69137334157967,2.864262843263433,npb_bt,12438,12479,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 40, ""ok"": 12438}",3,/home/latorresn/hyperion-results/sweeps/interval_ns/interval_2000000/sweep_interval_2000000__npb_bt__REF__rep03
14.400738822985492,1.752680560283371,npb_cg,3368,3404,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 35, ""ok"": 3368}",1,/home/latorresn/hyperion-results/sweeps/interval_ns/interval_2000000/sweep_interval_2000000__npb_cg__REF__rep01
12.862447716607495,1.7702062414532511,npb_cg,3328,3364,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 35, ""ok"": 3328}",2,/home/latorresn/hyperion-results/sweeps/interval_ns/interval_2000000/sweep_interval_2000000__npb_cg__REF__rep02
14.47319701242962,1.7634257959643502,npb_cg,3316,3352,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 35, ""ok"": 3316}",3,/home/latorresn/hyperion-results/sweeps/interval_ns/interval_2000000/sweep_interval_2000000__npb_cg__REF__rep03
34.98183264037551,3.340900440391644,npb_ft,1816,2067,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 250, ""ok"": 1816}",1,/home/latorresn/hyperion-results/sweeps/interval_ns/interval_2000000/sweep_interval_2000000__npb_ft__REF__rep01
35.40122433685758,3.3247649403856365,npb_ft,1825,2076,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 250, ""ok"": 1825}",2,/home/latorresn/hyperion-results/sweeps/interval_ns/interval_2000000/sweep_interval_2000000__npb_ft__REF__rep02
38.321328007975325,3.2209033047240823,npb_ft,1887,2138,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 250, ""ok"": 1887}",3,/home/latorresn/hyperion-results/sweeps/interval_ns/interval_2000000/sweep_interval_2000000__npb_ft__REF__rep03
19.724838874988997,1.8262293567954893,npb_lu,8119,8620,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 500, ""ok"": 8119}",1,/home/latorresn/hyperion-results/sweeps/interval_ns/interval_2000000/sweep_interval_2000000__npb_lu__REF__rep01
19.64596652941645,1.8270887742052204,npb_lu,8118,8619,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 500, ""ok"": 8118}",2,/home/latorresn/hyperion-results/sweeps/interval_ns/interval_2000000/sweep_interval_2000000__npb_lu__REF__rep02
19.711355718146013,1.8266919297737991,npb_lu,8114,8615,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 500, ""ok"": 8114}",3,/home/latorresn/hyperion-results/sweeps/interval_ns/interval_2000000/sweep_interval_2000000__npb_lu__REF__rep03
19.82589648183854,1.7045290626380358,npb_mg,316,467,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 150, ""ok"": 316}",1,/home/latorresn/hyperion-results/sweeps/interval_ns/interval_2000000/sweep_interval_2000000__npb_mg__REF__rep01
20.014973277852143,1.7012068861148952,npb_mg,317,468,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 150, ""ok"": 317}",2,/home/latorresn/hyperion-results/sweeps/interval_ns/interval_2000000/sweep_interval_2000000__npb_mg__REF__rep02
19.881355195206343,1.6976183016801978,npb_mg,318,469,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 150, ""ok"": 318}",3,/home/latorresn/hyperion-results/sweeps/interval_ns/interval_2000000/sweep_interval_2000000__npb_mg__REF__rep03
37.90675992588605,1.7782276052487878,npb_sp,8303,8554,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 250, ""ok"": 8303}",1,/home/latorresn/hyperion-results/sweeps/interval_ns/interval_2000000/sweep_interval_2000000__npb_sp__REF__rep01
38.457160016071015,1.766930121590771,npb_sp,8360,8611,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 250, ""ok"": 8360}",2,/home/latorresn/hyperion-results/sweeps/interval_ns/interval_2000000/sweep_interval_2000000__npb_sp__REF__rep02
38.466774021576256,1.756207539958485,npb_sp,8413,8664,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 250, ""ok"": 8413}",3,/home/latorresn/hyperion-results/sweeps/interval_ns/interval_2000000/sweep_interval_2000000__npb_sp__REF__rep03
23.011747029924344,2.855053107337931,npb_bt,50123,50284,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 160, ""ok"": 50123}",1,/home/latorresn/hyperion-results/sweeps/interval_ns/interval_500000/sweep_interval_500000__npb_bt__REF__rep01
22.65803428798247,2.859476554236301,npb_bt,50049,50210,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 160, ""ok"": 50049}",2,/home/latorresn/hyperion-results/sweeps/interval_ns/interval_500000/sweep_interval_500000__npb_bt__REF__rep02
22.139602555044537,2.868103977685737,npb_bt,49901,50062,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 160, ""ok"": 49901}",3,/home/latorresn/hyperion-results/sweeps/interval_ns/interval_500000/sweep_interval_500000__npb_bt__REF__rep03
14.395187615922985,1.7799444437662963,npb_cg,13317,13458,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 140, ""ok"": 13317}",1,/home/latorresn/hyperion-results/sweeps/interval_ns/interval_500000/sweep_interval_500000__npb_cg__REF__rep01
16.093066033673875,1.746581341246591,npb_cg,13458,13599,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 140, ""ok"": 13458}",2,/home/latorresn/hyperion-results/sweeps/interval_ns/interval_500000/sweep_interval_500000__npb_cg__REF__rep02
14.226156062451162,1.781264794886185,npb_cg,13310,13451,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 140, ""ok"": 13310}",3,/home/latorresn/hyperion-results/sweeps/interval_ns/interval_500000/sweep_interval_500000__npb_cg__REF__rep03
36.29816578272018,3.274153791272136,npb_ft,7451,8454,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 1000, ""ok"": 7451, ""intensity_undefined"": 2}",1,/home/latorresn/hyperion-results/sweeps/interval_ns/interval_500000/sweep_interval_500000__npb_ft__REF__rep01
35.672831744678,3.3183866915657263,npb_ft,7347,8348,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 1000, ""ok"": 7347}",2,/home/latorresn/hyperion-results/sweeps/interval_ns/interval_500000/sweep_interval_500000__npb_ft__REF__rep02
37.21936696526306,3.2676360996089455,npb_ft,7467,8468,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 1000, ""ok"": 7467}",3,/home/latorresn/hyperion-results/sweeps/interval_ns/interval_500000/sweep_interval_500000__npb_ft__REF__rep03
