family,k,rep,cell_balanced_acc
rajaperf_apps_edge3d,3,2,0.5633181818181818
rajaperf_apps_edge3d,6,0,0.509
rajaperf_apps_edge3d,6,1,0.6147727272727272
rajaperf_apps_edge3d,6,2,0.3476818181818182
rajaperf_apps_edge3d,9,0,0.3992727272727272
rajaperf_apps_edge3d,9,1,0.5454545454545454
rajaperf_apps_edge3d,9,2,0.5515
rajaperf_apps_edge3d,12,0,0.7796363636363637
rajaperf_apps_edge3d,12,1,0.7272727272727273
rajaperf_apps_edge3d,12,2,0.5962727272727273
rajaperf_apps_edge3d,15,0,0.6857727272727273
rajaperf_apps_edge3d,15,1,0.5055
rajaperf_apps_edge3d,15,2,0.519
rajaperf_apps_edge3d,18,0,0.5589999999999999
rajaperf_apps_edge3d,18,1,0.6186363636363637
rajaperf_apps_edge3d,18,2,0.6292727272727273
rajaperf_apps_edge3d,21,0,0.41168181818181815
rajaperf_apps_edge3d,21,1,0.7162727272727273
rajaperf_apps_edge3d,21,2,0.6475
rajaperf_apps_edge3d,23,0,0.5075
rajaperf_apps_edge3d,23,1,0.6017727272727272
rajaperf_apps_edge3d,23,2,0.5105
rajaperf_apps_fir,3,0,0.9318181818181819
rajaperf_apps_fir,3,1,0.7755454545454545
rajaperf_apps_fir,3,2,0.6883636363636363
rajaperf_apps_fir,6,0,0.6244545454545455
rajaperf_apps_fir,6,1,0.7045454545454546
rajaperf_apps_fir,6,2,0.9318181818181819
rajaperf_apps_fir,9,0,0.8278181818181818
rajaperf_apps_fir,9,1,0.9318181818181819
rajaperf_apps_fir,9,2,0.9318181818181819
rajaperf_apps_fir,12,0,0.8783181818181818
rajaperf_apps_fir,12,1,0.6860454545454545
rajaperf_apps_fir,12,2,0.8636363636363636
rajaperf_apps_fir,15,0,0.2984545454545455
rajaperf_apps_fir,15,1,0.9090909090909092
rajaperf_apps_fir,15,2,0.9318181818181819
rajaperf_apps_fir,18,0,0.9313181818181818
rajaperf_apps_fir,18,1,0.9090909090909092
rajaperf_apps_fir,18,2,0.7272727272727273
rajaperf_apps_fir,21,0,0.6818181818181819
rajaperf_apps_fir,21,1,0.8755909090909091
rajaperf_apps_fir,21,2,0.6590909090909091
rajaperf_apps_fir,23,0,0.9318181818181819
rajaperf_apps_fir,23,1,0.9318181818181819
rajaperf_apps_fir,23,2,0.9318181818181819
rajaperf_apps_mass3dpa,3,0,0.6531666666666667
rajaperf_apps_mass3dpa,3,1,0.9101666666666667
rajaperf_apps_mass3dpa,3,2,0.8955
rajaperf_apps_mass3dpa,6,0,1.0
rajaperf_apps_mass3dpa,6,1,1.0
rajaperf_apps_mass3dpa,6,2,0.848
rajaperf_apps_mass3dpa,9,0,0.8046666666666666
rajaperf_apps_mass3dpa,9,1,0.6935
rajaperf_apps_mass3dpa,9,2,0.971
rajaperf_apps_mass3dpa,12,0,0.9415
rajaperf_apps_mass3dpa,12,1,0.9995
rajaperf_apps_mass3dpa,12,2,1.0
rajaperf_apps_mass3dpa,15,0,1.0
rajaperf_apps_mass3dpa,15,1,0.6965
rajaperf_apps_mass3dpa,15,2,1.0
rajaperf_apps_mass3dpa,18,0,1.0
rajaperf_apps_mass3dpa,18,1,1.0
rajaperf_apps_mass3dpa,18,2,0.9984999999999999
rajaperf_apps_mass3dpa,21,0,0.976
rajaperf_apps_mass3dpa,21,1,1.0
rajaperf_apps_mass3dpa,21,2,1.0
rajaperf_apps_mass3dpa,23,0,0.9415
rajaperf_apps_mass3dpa,23,1,0.856
rajaperf_apps_mass3dpa,23,2,1.0
rajaperf_basic,3,0,0.42034745762711867
rajaperf_basic,3,1,0.5
rajaperf_basic,3,2,0.5564322033898306
rajaperf_basic,6,0,0.5
rajaperf_basic,6,1,0.496
rajaperf_basic,6,2,0.5
rajaperf_basic,9,0,0.5662203389830508
rajaperf_basic,9,1,0.4701949152542373
rajaperf_basic,9,2,0.5966440677966102
rajaperf_basic,12,0,0.4985
rajaperf_basic,12,1,0.5
rajaperf_basic,12,2,0.5258728813559321
rajaperf_basic,15,0,0.597406779661017
rajaperf_basic,15,1,0.5
rajaperf_basic,15,2,0.5635084745762712
rajaperf_basic,18,0,0.554906779661017
rajaperf_basic,18,1,0.4891949152542373
rajaperf_basic,18,2,0.492042372881356
rajaperf_basic,21,0,0.5379322033898305
rajaperf_basic,21,1,0.5214830508474576
rajaperf_basic,21,2,0.5544830508474576
rajaperf_basic,23,0,0.5335847457627119
rajaperf_basic,23,1,0.5148983050847458
rajaperf_basic,23,2,0.5425593220338982
rajaperf_basic_mat_mat_shared,3,0,0.587
rajaperf_basic_mat_mat_shared,3,1,0.3065
rajaperf_basic_mat_mat_shared,3,2,0.58
rajaperf_basic_mat_mat_shared,6,0,0.6
rajaperf_basic_mat_mat_shared,6,1,0.5915
rajaperf_basic_mat_mat_shared,6,2,0.6
rajaperf_basic_mat_mat_shared,9,0,0.58
rajaperf_basic_mat_mat_shared,9,1,0.6
rajaperf_basic_mat_mat_shared,9,2,0.5995
rajaperf_basic_mat_mat_shared,12,0,0.6
rajaperf_basic_mat_mat_shared,12,1,0.579
rajaperf_basic_mat_mat_shared,12,2,0.5685
rajaperf_basic_mat_mat_shared,15,0,0.5905
rajaperf_basic_mat_mat_shared,15,1,0.4355
rajaperf_basic_mat_mat_shared,15,2,0.6
rajaperf_basic_mat_mat_shared,18,0,0.6
rajaperf_basic_mat_mat_shared,18,1,0.5925
rajaperf_basic_mat_mat_shared,18,2,0.591
rajaperf_basic_mat_mat_shared,21,0,0.6
rajaperf_basic_mat_mat_shared,21,1,0.6
rajaperf_basic_mat_mat_shared,21,2,0.5485
rajaperf_basic_mat_mat_shared,23,0,0.6
rajaperf_basic_mat_mat_shared,23,1,0.6005
rajaperf_basic_mat_mat_shared,23,2,0.5975
rajaperf_basic_pi_reduce,3,0,0.8125
rajaperf_basic_pi_reduce,3,1,0.8125
rajaperf_basic_pi_reduce,3,2,0.7975
rajaperf_basic_pi_reduce,6,0,0.8125
rajaperf_basic_pi_reduce,6,1,0.8125
rajaperf_basic_pi_reduce,6,2,0.8125
rajaperf_basic_pi_reduce,9,0,0.8075
rajaperf_basic_pi_reduce,9,1,0.8125
rajaperf_basic_pi_reduce,9,2,0.8125
rajaperf_basic_pi_reduce,12,0,0.7975
rajaperf_basic_pi_reduce,12,1,0.8125
rajaperf_basic_pi_reduce,12,2,0.8125
rajaperf_basic_pi_reduce,15,0,0.8115
rajaperf_basic_pi_reduce,15,1,0.8125
rajaperf_basic_pi_reduce,15,2,0.8125
rajaperf_basic_pi_reduce,18,0,0.8125
rajaperf_basic_pi_reduce,18,1,0.8125
rajaperf_basic_pi_reduce,18,2,0.8125
rajaperf_basic_pi_reduce,21,0,0.8125
rajaperf_basic_pi_reduce,21,1,0.8125
rajaperf_basic_pi_reduce,21,2,0.8115
rajaperf_basic_pi_reduce,23,0,0.8125
rajaperf_basic_pi_reduce,23,1,0.8125
rajaperf_basic_pi_reduce,23,2,0.8125
rajaperf_basic_trap_int,3,0,0.7777777777777778
rajaperf_basic_trap_int,3,1,0.5
rajaperf_basic_trap_int,3,2,0.6111111111111112
rajaperf_basic_trap_int,6,0,0.7707777777777778
rajaperf_basic_trap_int,6,1,0.5577777777777778
rajaperf_basic_trap_int,6,2,0.7777777777777778
rajaperf_basic_trap_int,9,0,0.8834444444444445
rajaperf_basic_trap_int,9,1,0.7717777777777778
rajaperf_basic_trap_int,9,2,0.5
rajaperf_basic_trap_int,12,0,0.7407777777777778
rajaperf_basic_trap_int,12,1,0.7742777777777778
rajaperf_basic_trap_int,12,2,0.7777777777777778
rajaperf_basic_trap_int,15,0,0.7367777777777778
rajaperf_basic_trap_int,15,1,0.5469444444444445
rajaperf_basic_trap_int,15,2,0.7777777777777778
rajaperf_basic_trap_int,18,0,0.7772777777777777
rajaperf_basic_trap_int,18,1,0.8224444444444444
rajaperf_basic_trap_int,18,2,0.7777777777777778
rajaperf_basic_trap_int,21,0,0.6757777777777778
rajaperf_basic_trap_int,21,1,0.7502777777777778
rajaperf_basic_trap_int,21,2,0.7777777777777778
rajaperf_basic_trap_int,23,0,0.7777777777777778
rajaperf_basic_trap_int,23,1,0.7777777777777778
rajaperf_basic_trap_int,23,2,0.7777777777777778
rajaperf_lcals,3,0,0.5
rajaperf_lcals,3,1,0.5
rajaperf_lcals,3,2,0.5
rajaperf_lcals,6,0,0.618834862385321
rajaperf_lcals,6,1,0.5
rajaperf_lcals,6,2,0.6442064220183487
rajaperf_lcals,9,0,0.6211422018348624
rajaperf_lcals,9,1,0.5
rajaperf_lcals,9,2,0.6310596330275229
rajaperf_lcals,12,0,0.6184495412844038
rajaperf_lcals,12,1,0.5566146788990826
rajaperf_lcals,12,2,0.6687339449541284
rajaperf_lcals,15,0,0.5
rajaperf_lcals,15,1,0.6348119266055046
rajaperf_lcals,15,2,0.6542339449541285
rajaperf_lcals,18,0,0.6511467889908258
rajaperf_lcals,18,1,0.5
rajaperf_lcals,18,2,0.6604311926605504
